ID,Type,Number,Datetime [UTC],GyroX [rad/s],GyroY [rad/s],GyroZ [rad/s],AccX [m/s^2],AccY [m/s^2],AccZ [m/s^2],MagX,MagY,MagZ,q0,q1,q2,q3
RET,ATT,1,1721055247743,-0.005251169670373202,0.009650179184973242,0.0025434414856135845,-0.18332022428512573,-0.13630382716655734,9.848408699035646,-0.17341136932373047,0.033208370208740234,-1.3057258129119873,1,0,0,0
RET,ATT,2,1721055248740,-0.004910305608063937,0.009300746023654938,0.003611110849305988,-0.190804123878479,-0.14371567964553833,9.789178848266602,-0.17270302772521973,0.0341496467590332,-1.3116455078125,1,0,0,0
RET,ATT,3,1721055249740,-0.005147606134414673,0.009140932001173498,0.0031186270061880354,-0.18890984356403354,-0.13601505756378174,9.78745746612549,-0.17274188995361328,0.03415513038635254,-1.3106579780578613,1,0,0,0
RET,ATT,4,1721055250739,-0.005827844142913818,0.009444170631468298,0.003673695493489504,-0.19101396203041077,-0.13140134513378146,9.783570289611818,-0.17494678497314453,0.035109519958496094,-1.317138910293579,1,0,0,0
RET,ATT,5,1721055251739,-0.004722923971712589,0.009432623162865639,0.002669729525223375,-0.18077708780765536,-0.1377861201763153,9.778309822082521,-0.17315959930419922,0.03463482856750488,-1.3126471042633057,1,0,0,0
RET,ATT,6,1721055252740,-0.005204974673688412,0.009946337901055815,0.0035570929758250713,-0.1834622770547867,-0.12864623963832858,9.77377223968506,-0.17643213272094727,0.03365898132324219,-1.316176414489746,1,0,0,0
RET,ATT,7,1721055253739,-0.0054057687520980835,0.009730272926390173,0.003308244282379747,-0.18172453343868258,-0.14051572978496554,9.772823333740234,-0.17269277572631836,0.03372550010681152,-1.2992870807647705,1,0,0,0
RET,ATT,8,1721055254740,-0.0046659265644848355,0.009363703429698944,0.003294833237305284,-0.18198700249195102,-0.13808326423168185,9.776664733886719,-0.17228126525878906,0.030811071395874023,-1.2962965965270996,1,0,0,0
RET,ATT,9,1721055255741,-0.005013123620301486,0.009655394591391088,0.0033101066946983337,-0.1834533363580704,-0.1306674033403397,9.793180465698242,-0.17525959014892578,0.032781124114990234,-1.2958815097808838,1,0,0,0
RET,ATT,10,1721055256739,-0.005018711090087891,0.010143780149519445,0.0037619848735630512,-0.17354291677474976,-0.13114190101623535,9.744900703430178,-0.17471861839294434,0.03179740905761719,-1.2968521118164062,1,0,0,0
RET,ATT,11,1721055257740,-0.005006417632102966,0.010122918523848059,0.004321896005421878,-0.19004286825656894,-0.14158284664154053,9.767004966735842,-0.17334270477294922,0.03131508827209473,-1.2943463325500488,1,0,0,0
RET,ATT,12,1721055258739,-0.005922839045524597,0.009644963778555395,0.0034539029002189636,-0.17696990072727206,-0.1267048716545105,9.819269180297852,-0.1703646183013916,0.03080582618713379,-1.2952637672424316,1,0,0,0
RET,ATT,13,1721055259740,-0.004382058046758175,0.009446404874324799,0.003413297468796373,-0.18491369485855103,-0.13786348700523376,9.753841400146484,-0.1760556697845459,0.03227496147155762,-1.3003449440002441,1,0,0,0
RET,ATT,14,1721055260739,-0.004877150058746338,0.009684449993073942,0.0034404918551445007,-0.1901851445436478,-0.13061158359050754,9.787141799926758,-0.17321372032165527,0.03324532508850098,-1.2983081340789795,1,0,0,0
RET,ATT,15,1721055261741,-0.005086883902549744,0.009793602861464025,0.002856739098206163,-0.17961506545543673,-0.13569976389408114,9.783952713012695,-0.17461538314819336,0.03275752067565918,-1.2998204231262207,1,0,0,0
RET,ATT,16,1721055262740,-0.005248561035841704,0.00968109630048275,0.003255717689171434,-0.17847107350826266,-0.13049305975437167,9.774832725524904,-0.1735084056854248,0.03322148323059082,-1.3032569885253906,1,0,0,0
RET,ATT,17,1721055263740,-0.004566089715808631,0.008746796287596227,0.002980045974254608,-0.18233731389045715,-0.1386104077100754,9.774084091186523,-0.17356657981872559,0.03322935104370117,-1.3017756938934326,1,0,0,0
RET,ATT,18,1721055264739,-0.00543743371963501,0.010164641775190832,0.002738647162914276,-0.18584965169429782,-0.13520933687686923,9.779789924621584,-0.1757972240447998,0.03321337699890137,-1.3072633743286133,1,0,0,0
RET,ATT,19,1721055265740,-0.005390122998505832,0.009012408554553986,0.003593974281102419,-0.18002957105636597,-0.1162932813167572,9.936870574951172,-0.17383599281311035,0.03563714027404785,-1.3082201480865479,1,0,0,0
RET,ATT,20,1721055266740,-0.005478784441947937,0.009789877571165563,0.003520585596561432,-0.18449002504348755,-0.13772082328796387,9.770570755004883,-0.17480754852294922,0.036615610122680664,-1.308741807937622,1,0,0,0
RET,ATT,21,1721055267740,-0.00481903599575162,0.009358116425573828,0.0035474076867103577,-0.18871389329433444,-0.1349702775478363,9.817462921142578,-0.1741631031036377,0.03513073921203613,-1.3121788501739502,1,0,0,0
RET,ATT,22,1721055268740,-0.0051781535148620605,0.010005571879446508,0.0034978617914021015,-0.18343316018581393,-0.13394297659397128,9.78140640258789,-0.17516660690307617,0.03416562080383301,-1.3112080097198486,1,0,0,0
RET,ATT,23,1721055269740,-0.004952027928084136,0.010185502469539642,0.0036140899173915386,-0.18476101756095886,-0.13667964935302734,9.768495559692383,-0.17642569541931152,0.034631967544555664,-1.3166759014129639,1,0,0,0
RET,ATT,24,1721055270740,-0.005520135629922152,0.009232200682163239,0.0031536447349935774,-0.18560887873172763,-0.13360671699047091,9.767919540405273,-0.17650961875915527,0.033669471740722656,-1.3142013549804688,1,0,0,0
RET,ATT,25,1721055271740,-0.005874037742614746,0.01058485358953476,0.003387965960428119,-0.19593052566051486,-0.12399618327617645,9.966201782226562,-0.17554473876953125,0.03171801567077637,-1.3131802082061768,1,0,0,0
RET,ATT,26,1721055272741,-0.005922093987464905,0.009434484876692297,0.003991089761257172,-0.1766956001520157,-0.12795081734657288,9.839927673339844,-0.1764836311340332,0.03317880630493164,-1.314692497253418,1,0,0,0
RET,ATT,27,1721055273740,-0.005007163155823947,0.009762309491634369,0.0031774863600730896,-0.17789608240127563,-0.12613709270954135,9.789710998535156,-0.1741044521331787,0.033661842346191406,-1.3131577968597412,1,0,0,0
RET,ATT,28,1721055274740,-0.0030428171157836914,0.010409020818769934,0.00317450612783432,-0.1452334672212601,-0.09930018335580827,9.71200466156006,-0.17458081245422363,0.0341496467590332,-1.3136656284332275,1,0,0,0
RET,ATT,29,1721055275739,-0.004682689905166626,0.009827131405472755,0.003919192124158145,-0.19007982313632968,-0.14064642786979675,9.775947570800781,-0.17413663864135742,0.03317904472351074,-1.3121676445007324,1,0,0,0
RET,ATT,30,1721055276740,-0.0054638837464153775,0.009342839941382408,0.0032631678041070704,-0.19380329549312594,-0.14665623009204867,9.696846008300781,-0.17334723472595215,0.03417348861694336,-1.307706356048584,1,0,0,0
RET,ATT,31,1721055277739,-0.005615875590592624,0.010173209011554718,0.0037493184208869934,-0.16824942827224731,-0.12972623109817505,9.711647033691406,-0.17291665077209473,0.03563976287841797,-1.3067162036895752,1,0,0,0
RET,ATT,32,1721055278740,-0.005610658787190914,0.009717232547700407,0.0033309683203697205,-0.17442218959331515,-0.12910428643226624,9.781676292419435,-0.1742408275604248,0.0351414680480957,-1.3102037906646729,1,0,0,0
RET,ATT,33,1721055279740,-0.00485479785129428,0.008692032657563688,0.0038100401870906353,-0.1837005913257599,-0.14495643973350525,9.800613403320312,-0.17368698120117188,0.034642696380615234,-1.3116710186004639,1,0,0,0
RET,ATT,34,1721055280741,-0.005376711487770081,0.009359979070723059,0.0032858927734196186,-0.18553854525089267,-0.1428346782922745,9.833310127258303,-0.1743159294128418,0.03606152534484863,-1.3210835456848145,1,0,0,0
RET,ATT,35,1721055281739,-0.005534664262086154,0.009439699351787567,0.003363378345966339,-0.16422268748283386,-0.12562946975231173,9.805424690246584,-0.1731274127960205,0.03511762619018555,-1.3136374950408936,1,0,0,0
RET,ATT,36,1721055282739,-0.004594773054122925,0.009733998216688635,0.003735907841473818,-0.18944554030895236,-0.12424767762422563,9.791869163513185,-0.17659425735473633,0.0356287956237793,-1.3127315044403076,1,0,0,0
RET,ATT,37,1721055283739,-0.004922598600387573,0.009871086105704308,0.002865679329261184,-0.19379568099975586,-0.14237625896930697,9.772029876708984,-0.17609238624572754,0.034650325775146484,-1.3127145767211914,1,0,0,0
RET,ATT,38,1721055284739,-0.004837289918214084,0.009435229003429413,0.003438629442825914,-0.17819109559059143,-0.13393943011760714,9.774995803833008,-0.17656159400939941,0.034650325775146484,-1.3132195472717285,1,0,0,0
RET,ATT,39,1721055285739,-0.004706904757767917,0.009232200682163239,0.0032937154173851013,-0.18901920318603516,-0.13665646314620972,9.774911880493164,-0.1762087345123291,0.03466629981994629,-1.3097519874572754,1,0,0,0
RET,ATT,40,1721055286740,-0.0050473962910473355,0.009132735431194305,0.0033831226173788313,-0.1901232898235321,-0.1387215256690979,9.764312744140625,-0.1746218204498291,0.03324532508850098,-1.29982328414917,1,0,0,0
RET,ATT,41,1721055287740,-0.005497410893440247,0.00933874398469925,0.0031812118832021956,-0.18796284496784213,-0.13501162827014926,9.779052734375,-0.1747732162475586,0.031868934631347656,-1.283015251159668,1,0,0,0
RET,ATT,42,1721055288739,-0.004948676563799381,0.00917594972997904,0.003656186629086733,-0.189986065030098,-0.14131075143814087,9.776675224304201,-0.17274689674377441,0.03087449073791504,-1.2844460010528564,1,0,0,0
RET,ATT,43,1721055289740,-0.004990025423467159,0.009067169390618803,0.003178603714331985,-0.18089525401592257,-0.13432352244853976,9.760184288024904,-0.17187976837158203,0.03331947326660156,-1.2824625968933105,1,0,0,0
RET,ATT,44,1721055290740,-0.004530325997620822,0.009224750101566315,0.0034084545914083724,-0.18671248853206637,-0.13377837836742404,9.782094001770021,-0.1734144687652588,0.03375983238220215,-1.2933728694915771,1,0,0,0
RET,ATT,45,1721055291740,-0.00488460110500455,0.010151603259146215,0.0035023316740989685,-0.18142594397068026,-0.14190673828125,9.76949214935303,-0.16995763778686523,0.03367257118225098,-1.3066372871398926,1,0,0,0
RET,ATT,46,1721055292740,-0.005306302569806576,0.008991547860205175,0.004072300158441067,-0.18360264599323275,-0.14195300638675692,9.774070739746094,-0.17531466484069824,0.03223776817321777,-1.3067526817321777,1,0,0,0
RET,ATT,47,1721055293741,-0.004713982343673706,0.009196066297590734,0.0038431959692388777,-0.17783547937870028,-0.14001864194869995,9.783323287963867,-0.17429232597351074,0.034661293029785156,-1.3087193965911865,1,0,0,0
RET,ATT,48,1721055294740,-0.005495176184922458,0.009524635970592499,0.0032586979214102034,-0.1843685954809189,-0.13556288182735446,9.836308479309084,-0.17319178581237793,0.03415226936340332,-1.3116567134857178,1,0,0,0
RET,ATT,49,1721055295740,-0.004490837920457126,0.00911634508520365,0.003882311750203371,-0.18146881461143494,-0.14395986497402194,9.773375511169435,-0.174285888671875,0.03417348861694336,-1.3087165355682373,1,0,0,0
RET,ATT,50,1721055296740,-0.0046227118000388145,0.009656882844865324,0.0032974407076835632,-0.1836902052164078,-0.13369795680046082,9.77466678619385,-0.1751859188079834,0.034168243408203125,-1.3107142448425293,1,0,0,0
RET,ATT,51,1721055297740,-0.005056708585470916,0.00902470014989376,0.003067590296268463,-0.18073306977748874,-0.13712140917778015,9.792870521545412,-0.17148256301879883,0.03368854522705078,-1.305189847946167,1,0,0,0
RET,ATT,52,1721055298739,-0.004673377145081759,0.008778087794780731,0.003331713611260057,-0.18503578007221225,-0.13166800141334534,9.853627204895021,-0.1747748851776123,0.03417611122131348,-1.308727741241455,1,0,0,0
RET,ATT,53,1721055299740,-0.004818663001060486,0.009216180071234703,0.003251992398872972,-0.1827530562877655,-0.14419557154178622,9.771627426147461,-0.17337298393249512,0.03466391563415527,-1.3072154521942139,1,0,0,0
