ID,Type,Number,Datetime [UTC],GyroX [rad/s],GyroY [rad/s],GyroZ [rad/s],AccX [m/s^2],AccY [m/s^2],AccZ [m/s^2],MagX,MagY,MagZ,q0,q1,q2,q3
RET,ATT,1,1721054795842,-0.0048220157623291016,0.010480175726115705,0.003950484562665225,-0.18753838539123535,-0.1408115774393082,9.827050209045412,-0.17410635948181152,0.042428016662597656,-1.3161711692810059,1,0,0,0
RET,ATT,2,1721054796839,-0.00590086029842496,0.009961239993572235,0.0031417238060384993,-0.1849559396505356,-0.1448511779308319,9.794941902160646,-0.17317414283752441,0.04291582107543945,-1.3151638507843018,1,0,0,0
RET,ATT,3,1721054797840,-0.0047985464334487915,0.00983942486345768,0.0030314552132040267,-0.18249279260635376,-0.13843679428100586,9.78367328643799,-0.17148113250732422,0.041903018951416016,-1.3205559253692627,1,0,0,0
RET,ATT,4,1721054798842,-0.005953013896942139,0.010083056055009367,0.0033384189009666443,-0.17896451056003573,-0.1363200545310974,9.783301353454592,-0.17381572723388672,0.04384922981262207,-1.324080228805542,1,0,0,0
RET,ATT,5,1721054799838,-0.0054582953453063965,0.009982475079596044,0.003151037031784654,-0.183007150888443,-0.13403056561946872,9.780083656311037,-0.1729569435119629,0.0414891242980957,-1.3077375888824463,1,0,0,0
RET,ATT,6,1721054800839,-0.005621462594717742,0.009925104677677155,0.0033987688366323714,-0.18111243844032288,-0.136811763048172,9.77978515625,-0.1738431453704834,0.0390470027923584,-1.309227466583252,1,0,0,0
RET,ATT,7,1721054801838,-0.005576387513428927,0.009731763042509558,0.0031443312764167786,-0.17447133362293246,-0.13367897272109985,9.783143043518068,-0.17356204986572266,0.041507720947265625,-1.304786205291748,1,0,0,0
RET,ATT,8,1721054802840,-0.005400180350989104,0.009967945516109467,0.0028217209037393336,-0.18192681670188904,-0.14011721312999728,9.78218173980713,-0.1758275032043457,0.040099382400512695,-1.2964286804199219,1,0,0,0
RET,ATT,9,1721054803839,-0.005374476313591003,0.010216795839369299,0.003370829159393907,-0.18403789401054382,-0.1375207751989365,9.781310081481935,-0.17237329483032227,0.03910255432128906,-1.2968380451202393,1,0,0,0
RET,ATT,10,1721054804838,-0.00550523353740573,0.010157933458685875,0.002725608414039016,-0.18911999464035034,-0.1402755826711655,9.765622138977053,-0.17368435859680176,0.039089202880859375,-1.3008217811584473,1,0,0,0
RET,ATT,11,1721054805838,-0.005178899038583041,0.010182150639593603,0.003056041896343231,-0.1852189004421234,-0.13614256680011752,9.768858909606935,-0.17480206489562988,0.04051065444946289,-1.3102459907531738,1,0,0,0
RET,ATT,12,1721054806839,-0.005536154378205539,0.010110624134540558,0.0036193060223013167,-0.18771040439605713,-0.13207578659057617,9.77328109741211,-0.17284679412841797,0.04050016403198242,-1.3102009296417236,1,0,0,0
RET,ATT,13,1721054807840,-0.005384534131735564,0.010150110349059105,0.003892369568347931,-0.1884239912033081,-0.13492737710475924,9.77288818359375,-0.173753023147583,0.040982723236083984,-1.3122014999389648,1,0,0,0
RET,ATT,14,1721054808838,-0.004766508936882019,0.009749644435942175,0.003624148666858673,-0.1955375075340271,-0.1397668719291687,9.775541305541992,-0.17182374000549316,0.040001869201660156,-1.3111631870269775,1,0,0,0
