ID,Type,Number,Datetime [UTC],GyroX [rad/s],GyroY [rad/s],GyroZ [rad/s],AccX [m/s^2],AccY [m/s^2],AccZ [m/s^2],MagX,MagY,MagZ,q0,q1,q2,q3,qe0,qe1,qe2,qe3
RET,ATT,1,1723021646.337321,-0.015215576626360418,0.012680701911449432,-0.001497939112596214,0.05541280657052994,0.16227558255195618,9.864458084106445,0.19966602325439453,-0.3337516784667969,0.009903907775878906,0.291326105594635,0.004589288029819728,0.007286916952580214,0.9565851092338563,0,0,0,0
RET,ATT,2,1723021646.533163,-0.01466274354606867,0.012303703464567663,-0.0008821487426757812,0.051565021276474,0.1675216555595398,9.862197875976562,0.20015978813171387,-0.331866979598999,0.009912490844726562,0.2912921011447907,0.004555013496428729,0.0072590867057442665,0.956595778465271,0,0,0,0
RET,ATT,3,1723021646.733861,-0.014726817607879639,0.013168343342840673,-0.0009216368198394775,0.05806080996990204,0.1622888892889023,9.856576919555664,0.2021028995513916,-0.3300139904022217,0.009949684143066406,0.29125845432281494,0.00453002704307437,0.007249458227306605,0.9566062688827515,0,0,0,0
RET,ATT,4,1723021646.9292104,-0.01546293590217829,0.013061054050922394,-0.002103671431541443,0.057898100465536124,0.1668144166469574,9.844468116760256,0.19765257835388184,-0.33085107803344727,0.013723134994506836,0.2912298738956452,0.00451899552717805,0.007253308780491352,0.9566148519515991,0,0,0,0
RET,ATT,5,1723021647.1311493,-0.014074520207941534,0.012392736971378326,-0.0012248755665495994,0.05813874304294586,0.16371463239192965,9.840524673461914,0.20009279251098633,-0.33090782165527344,0.012806177139282227,0.291206568479538,0.0044736070558428764,0.0072315288707613945,0.9566224813461304,0,0,0,0
RET,ATT,6,1723021647.3320193,-0.013842806220054626,0.011971404775977135,-0.001455098274163902,0.05515323579311371,0.16211776435375216,9.829658508300781,0.1986525058746338,-0.33135199546813965,0.01229548454284668,0.2911669611930847,0.0044454080052673825,0.0072167981415987015,0.9566347599029541,0,0,0,0
RET,ATT,7,1723021647.5328372,-0.014152005314826965,0.012408384121954443,-0.0012226400431245565,0.047569785267114646,0.1657638102769852,9.836435317993164,0.19762611389160156,-0.33132123947143555,0.01468801498413086,0.29112949967384344,0.004424816928803921,0.007215505000203849,0.9566462635993959,0,0,0,0
RET,ATT,8,1723021647.7339208,-0.01476779580116272,0.012679214589297773,-0.0026024880353361373,0.05515317991375924,0.16081136465072632,9.83103656768799,0.20105910301208496,-0.3309290409088135,0.01282501220703125,0.2911500930786133,0.0043909745290875435,0.007185088470578194,0.9566403031349183,0,0,0,0
RET,ATT,9,1723021647.9294538,-0.014028327539563179,0.01174640003591776,-0.0023484230041503906,0.05120492354035378,0.15850056707859042,9.824381828308107,0.20004987716674805,-0.3299524784088135,0.014734983444213867,0.29115930199623113,0.0043840231373906136,0.007172903977334499,0.9566377401351929,0,0,0,0
RET,ATT,10,1723021648.1314,-0.01549646258354187,0.013081543147563934,-0.003003701334819198,0.04713220149278641,0.1566271632909775,9.829795837402344,0.20195341110229492,-0.33093905448913574,0.01573801040649414,0.29118168354034424,0.004352367017418147,0.007147812284529209,0.9566311836242676,0,0,0,0
RET,ATT,11,1723021648.333284,-0.014278666116297247,0.012904219329357147,-0.0022795053664594893,0.0450531654059887,0.1569317877292633,9.826050758361818,0.19904637336730957,-0.33229684829711914,0.01568150520324707,0.29117947816848755,0.004363606683909893,0.007143701426684856,0.9566318392753602,0,0,0,0
