"#OBSVHA,96,GPS,FINE,2323,120410000,0,0,18,11;0*ab409b9c"
"#OBSVHA,96,GPS,FINE,2323,120431000,0,0,18,12;0*d3522493"
"#OBSVMA,96,GPS,FINE,2323,120432000,0,0,18,11;23,0,10,21474611.991,-112849838.044814,325,364,-2083.419,3114,0,16.010,00181c43,0,10,21474611.763,-87934945.293928,618,1600,-1624.227,1723,0,0.000,0538104b,0,10,21474602.537,-84270953.474003,747,1600,-1557.094,1889,0,0.000,01d0104b,0,27,20924802.984,-109960566.676444,11,55,-2203.230,4921,0,2224.010,00181c63,0,27,20924813.273,-85683572.698456,24,79,-1716.758,4447,0,2221.010,05381c63,0,27,20924804.975,-82113405.125934,9,63,-1645.305,4620,0,2221.010,01d01c63,0,32,22557735.320,-118541679.065137,517,495,1573.438,2977,0,5.010,00181cc3,0,32,22557756.113,-92370241.341961,470,541,1226.106,2761,0,3.010,05381cc3,0,32,22557741.746,-88521422.760610,496,1600,1173.987,2015,0,0.000,01d010cb,3,39,20130594.399,-107420731.944554,29,79,2613.843,4502,0,814.010,00191c63,3,39,20130597.893,-83549370.923290,29,87,2033.012,4349,0,240.010,00b91c63,9,61,20760275.906,-111014769.682998,30,93,-1895.694,4227,0,567.010,00191c83,9,61,20760276.444,-86344679.832708,57,113,-1474.435,4100,0,1179.010,00b91c83,0,19,22220720.820,-115709136.631651,8,56,480.700,4759,0,2222.010,001c1c23,0,19,22220716.388,-94023129.819880,4,52,390.606,4888,0,2222.010,02a41c23,0,29,23836567.831,-124123243.659491,223,264,-2341.582,3272,0,75.010,001c1c43,0,29,23836555.192,-100860265.830134,782,1600,-1903.465,2436,0,0.000,02a4104b,0,20,24254562.794,-126299873.268228,627,1600,-2300.936,1911,0,0.000,001c1067,0,22,23822869.730,-124051957.990633,31,81,3152.828,4486,0,1643.010,001c1da3,0,22,23822868.742,-100802432.978468,4,52,2561.982,4982,0,1857.010,02a41da3,0,24,26128096.089,-137304048.635591,46,128,-2745.550,3745,0,492.010,005b1c23,0,24,26128103.720,-102532243.139092,21,104,-2050.330,3937,0,2224.000,01931c23,0,24,26128097.770,-105206983.802112,19,106,-2103.749,3873,0,2224.000,02331c23*774dd469"
"#OBSVHA,96,GPS,FINE,2323,120432000,0,0,18,11;0*f8dc2e38"
"#GPSEPHA,96,GPS,FINE,2323,120432000,0,0,18,12;1,110160.0,63,111,111,2323,2323,115200.0,2.656145382e+07,5.942390382e-09,2.481053646e+00,1.3382068020e-02,1.0303725821e+00,3.021210432e-06,8.935108781e-06,2.02375000e+02,5.99375000e+01,2.421438694e-08,-2.384185791e-07,9.5400189024e-01,-3.893019303e-11,-9.327354062e-01,-7.79818197e-09,111,115200.0,-1.955777407e-08,2.4212478e-04,-7.1622708e-12,0.0000000e+00,TRUE,1.458508120e-04,1.60000000e+01*550829b9"
"#GPSEPHA,96,GPS,FINE,2323,120432000,0,0,18,12;10,118530.0,0,34,34,2323,2323,122400.0,2.656049137e+07,3.659438145e-09,-2.196557137e+00,9.4343513483e-03,-2.3773570982e+00,-2.508983016e-06,8.817762136e-06,87,2608.998,4477,0,819.010,00191c63,3,39,20128150.892,-83539216.153087,26,86,2029.307,4337,0,245.010,00b91c63,9,61,20762050.222,-111024256.431165,30,93,-1898.700,4240,0,572.010,00191c83,9,61,20762049.757,-86352058.385004,54,112,-1476.664,4099,0,1184.010,00b91c83,0,19,22220261.369,-115706743.945967,6,55,476.738,4754,0,2227.010,001c1c23,0,19,22220256.845,-94021185.565281,4,52,387.365,4846,0,2227.010,02a41c23,0,29,23838816.750,-124134956.491383,155,253,-2343.521,3205,0,80.010,001c1c43,0,29,23838804.564,-100869783.821914,804,1600,-1904.332,2496,0,0.000,02a4104b,0,20,24256776.325,-126311399.566250,709,1600,-2305.054,1803,0,0.000,001c1067,0,22,23819843.672,-124036200.300356,30,80,3150.515,4493,0,1648.010,001c1da3,0,22,23819842.605,-100789628.579373,4,52,2560.110,4938,0,1862.010,02a41da3,0,24,26130709.575,-137317782.525890,33,121,-2747.657,3752,0,497.010,005b1c23,0,24,26130717.207,-102542498.937015,24,106,-2051.716,3909,0,2229.000,01931c23,0,24,26130711.281,-105217507.113559,17,104,-2105.185,3879,0,2229.000,02331c23*5f2e8293"
"#OBSVHA,96,GPS,FINE,2323,120437000,0,0,18,12;0*80c34d77"
"#OBSVMA,96,GPS,FINE,2323,120438000,0,0,18,11;23,0,10,21476993.385,-112862351.417854,391,419,-2088.018,3074,0,22.010,00181c43,0,10,21477007.875,-87944755.822051,376,1600,-1627.814,1987,0,0.000,0538104b,0,10,21476984.707,-84280300.602634,645,1600,-1559.469,1952,0,0.000,01d0104b,0,27,20927321.206,-109973799.565676,11,55,-2207.952,4922,0,2230.010,00181c63,0,27,20927331.279,-85693884.034153,20,77,-1720.529,4457,0,2227.010,05381c63,0,27,20927323.346,-82123286.813433,8,62,-1648.797,4627,0,2227.010,01d01c63,0,32,22555943.450,-118532254.749226,402,518,1568.565,3130,0,11.010,00181cc3,0,32,22555964.496,-92362897.750308,424,481,1221.915,2874,0,9.010,05381cc3,0,32,22555946.632,-88514379.099120,701,1600,1170.797,1940,0,0.000,01d010cb,3,39,20127657.947,-107405067.501557,38,84,2607.500,4496,0,820.010,00191c63,3,39,20127662.103,-83537187.479393,30,88,2028.139,4333,0,246.010,00b91c63,9,61,20762405.433,-111026155.637133,29,92,-1899.919,4240,0,573.010,00191c83,9,61,20762404.840,-86353535.544191,51,111,-1477.569,4093,0,1185.010,00b91c83,0,19,22220169.969,-115706267.907755,6,55,475.296,4747,0,2228.010,001c1c23,0,19,22220165.418,-94020798.740887,4,52,386.247,4845,0,2228.010,02a41c23,0,29,23839266.738,-124137300.484004,127,290,-2344.589,3181,0,81.010,001c1c43,0,29,23839254.262,-100871686.122328,805,1600,-1904.516,2511,0,0.000,02a4104b,0,20,24257217.136,-126313695.996958,743,1600,-2304.160,1702,0,0.000,001c1067,0,22,23819238.725,-124033050.288489,29,80,3149.364,4486,0,1649.010,001c1da3,0,22,23819237.688,-100787068.948782,4,52,2559.172,4941,0,1863.010,02a41da3,0,24,26131232.445,-137320530.603770,31,121,-2748.551,3740,0,498.010,005b1c23,0,24,26131240.130,-102544551.075385,23,105,-2052.526,3918,0,2230.000,01931c23,0,24,26131234.249,-105219612.833557,17,105,-2106.303,3858,0,2230.000,02331c23*22114131"
"#OBSVHA,96,GPS,FINE,2323,120438000,0,0,18,12;0*0e292a4d"
"#GPSEPHA,96,GPS,FINE,2323,120438000,0,0,18,12;1,110160.0,63,111,111,2323,2323,115200.0,2.656145382e+07,5.942390382e-09,2.481053646e+00,1.3382068020e-02,1.0303725821e+00,3.021210432e-06,8.935108781e-06,2.02375000e+02,5.99375000e+01,2.421438694e-08,-2.384185791e-07,9.5400189024e-01,-3.893019303e-11,-9.327354062e-01,-7.79818197e-09,111,115200.0,-1.955777407e-08,2.4212478e-04,-7.1622708e-12,0.0000000e+00,TRUE,1.458508120e-04,1.60000000e+01*4be6b354"
"#GPSEPHA,96,GPS,FINE,2323,120438000,0,0,18,12;10,118530.0,0,34,34,2323,2323,122400.0,2.656049137e+07,3.659438145e-09,-2.196557137e+00,9.4343513483e-03,-2.3773570982e+00,-2.508983016e-06,8.817762136e-06,2.22375000e+02,-4.87812500e+01,2.607703209e-08,-9.499490261e-08,9.8479691121e-01,2.439387325e-10,2.194411473e+00,-7.44459581e-09,34,122400.0,2.328306437e-09,-6.6687819e-05,-9.7770680e-12,0.0000000e+00,TRUE,1.458564564e-04,4.00000000e+00*d915f938"
