"#OBSVHA,96,GPS,FINE,2323,130228000,0,0,18,15;0*e7db7048"
"#BDSEPHA,96,GPS,FINE,2323,130246000,0,0,18,18;45,111600.0,0,1,1,2323,2323,111600.0,2.790611530e+07,4.124814672e-09,-2.973195606e+00,4.6342203859e-04,-3.1839587348e-01,1.492444426e-06,9.085051715e-06,1.73515625e+02,2.82656250e+01,-1.816079021e-08,7.450580597e-09,9.4969187903e-01,-1.242908915e-10,-1.500161504e+00,-6.77135348e-09,1,111600.0,1.900000000e-08,1.900000000e-08,-1.04779e-04,-4.33875e-12,0.00000e+00,TRUE,1.354356631e-04,4.00000000e+00*9f31a377"
"#GLOEPHA,96,GPS,FINE,2323,130246000,0,0,18,18;38,8,1,0,2323,125118000,10782,197,0,0,55,0,-5.738653808593750e+06,1.064691455078125e+07,2.245873486328125e+07,-3.075361251831055e+03,3.996276855468750e+01,-8.033151626586914e+02,0.000000000000000,-0.000000000000000e+00,-2.793967723846436e-06,-9.142514318227768e-05,8.381903172e-09,9.094947017729282e-13,48810,2,2,0,12*26839bb6"
"#GLOEPHA,96,GPS,FINE,2323,130246000,0,0,18,19;39,3,1,0,2323,130518000,10782,197,0,0,61,0,-3.494482421875000e+06,1.226339257812500e+07,2.212276269531250e+07,-2.812635421752930e+03,1.103238105773926e+03,-1.063755035400391e+03,0.000000000000000,-0.000000000000000e+00,-2.793967723846436e-06,2.371240407228470e-05,5.587935448e-09,0.000000000000000e+00,54060,2,2,0,12*7aa6d81e"
"#GLOEPHA,96,GPS,FINE,2323,130246000,0,0,18,19;40,12,1,0,2323,130518000,10782,197,0,0,61,0,1.430744677734375e+07,4.854359375000000e+06,2.061418505859375e+07,-2.655930519104004e+03,9.231090545654297e+02,1.624158859252930e+03,0.000000000000000,-9.313225746154785e-07,-9.313225746154785e-07,-1.038387417793274e-04,-2.793967724e-09,9.094947017729282e-13,54360,2,3,0,12*09041ecc"
"#GLOEPHA,96,GPS,FINE,2323,130246000,0,0,18,19;41,13,1,0,2323,130518000,10782,197,0,0,61,0,2.374070507812500e+07,-4.871033691406250e+06,8.005824707031250e+06,-1.091082572937012e+03,1.998653411865234e+02,3.367185592651367e+03,0.000000000000000,-1.862645149230957e-06,0.000000000000000e+00,-2.453932538628578e-04,-2.793967724e-09,1.818989403545856e-12,54030,2,4,0,12*0278346a"
"#GLOEPHA,96,GPS,FINE,2323,130246000,0,0,18,19;44,12,1,0,2323,112518000,10782,197,0,0,41,0,-6.440652832031250e+06,9.381915527343750e+06,2.287172656250000e+07,-1.795485496520996e+03,-2.553534507751465e+03,5.382413864135742e+02,0.000000931322575,0.000000000000000e+00,-1.862645149230957e-06,-8.670426905155182e-05,1.862645149e-09,9.094947017729282e-13,36000,2,1,0,13*e1db45d9"
"#OBSVMA,95,GPS,FINE,2323,130247000,0,0,18,13;46,0,3,20324495.500,-106805944.138676,721,1600,1006.352,2194,0,0.000,00181027,0,32,24739523.320,-130007071.648494,734,1600,-3256.466,1656,0,0.000,00181047,0,28,23724409.491,-124672613.348806,812,1600,813.009,2464,0,0.000,0018106b,0,28,23724400.757,-97147455.293145,448,1600,634.417,2533,0,0.000,05381063,0,28,23724389.714,-93099601.368992,839,1600,606.678,1862,0,0.000,01d0106b,0,8,24478495.158,-128635360.732117,428,1600,-3659.803,1931,0,0.000,001810eb,0,21,21356857.785,-112231034.917967,6,53,-1538.310,4975,0,2992.010,00181d03,0,21,21356861.886,-87452771.497652,32,108,-1198.683,4253,0,2692.010,01301d03,0,2,20690997.537,-108731911.083672,10,64,-452.379,4622,0,850.010,00181d23,0,2,20690997.977,-84726186.777903,72,238,-352.502,3654,0,516.010,01301d23,"
"0,4,22330572.216,-117348000.4454079,0,109.010,01931c83,0,10,25021595.545,-100751557.908617,26,124,-1354.301,3684,0,111.010,02331c83,0,9,24333775.926,-127874862.733256,14,68,2078.235,4575,0,3194.010,005b1cc3,0,9,24333782.344,-95491076.389623,14,91,1552.134,4107,0,4328.010,01931cc3,0,9,24333777.490,-97982138.806416,12,83,1592.570,4254,0,4327.010,02331cc3,0,11,22701161.610,-119295433.164425,59,115,-637.926,4086,0,1225.010,005b1ce3,0,11,22701159.854,-89084231.079386,34,170,-476.488,3266,0,918.010,01931ce3,0,11,22701157.113,-91408148.697445,40,161,-488.612,3389,0,1047.010,02331ce3,0,6,23493867.426,-123461092.730809,6,53,905.562,4890,0,3598.010,005b1d43,0,6,23493870.418,-92195123.734967,10,67,676.264,4561,0,3556.010,01931d43,0,6,23493868.131,-94600093.865166,6,53,693.918,4818,0,3362.010,02331d43*4d62cdc0"
"#OBSVHA,96,GPS,FINE,2323,130260000,0,0,18,14;0*e602a2ff"
"#GPSEPHA,96,GPS,FINE,2323,130260000,0,0,18,15;1,110160.0,63,111,111,2323,2323,115200.0,2.656145382e+07,5.942390382e-09,2.481053646e+00,1.3382068020e-02,1.0303725821e+00,3.021210432e-06,8.935108781e-06,2.02375000e+02,5.99375000e+01,2.421438694e-08,-2.384185791e-07,9.5400189024e-01,-3.893019303e-11,-9.327354062e-01,-7.79818197e-09,111,115200.0,-1.955777407e-08,2.4212478e-04,-7.1622708e-12,0.0000000e+00,TRUE,1.458508120e-04,1.60000000e+01*0a6d302b"
"#GPSEPHA,96,GPS,FINE,2323,130260000,0,0,18,15;2,129600.0,0,106,106,2323,2323,136800.0,2.656058792e+07,4.511616498e-09,-1.873219288e+00,1.6001350479e-02,-1.1609621807e+00,-2.088025212e-06,4.744157195e-06,2.92437500e+02,-4.74062500e+01,-1.192092896e-07,4.023313522e-07,9.6714139618e-01,-1.546492989e-10,1.060889880e+00,-8.09712299e-09,106,136800.0,-1.769512892e-08,-3.9855065e-04,7.3896445e-12,0.0000000e+00,TRUE,1.458565133e-04,4.00000000e+00*abe23390"
"#GPSEPHA,96,GPS,FINE,2323,130260000,0,0,18,15;3,122670.0,0,101,101,2323,2323,129600.0,2.656056965e+07,3.898019511e-09,-1.926801941e-01,5.6772230892e-03,1.1236491619e+00,-2.466142178e-06,8.355826139e-06,2.30125000e+02,-4.81875000e+01,-1.862645149e-09,7.264316082e-08,9.8514353941e-01,8.643217168e-11,2.196916952e+00,-7.77925261e-09,101,129600.0,1.396983862e-09,4.5899535e-04,1.6484591e-11,0.0000000e+00,TRUE,1.458560501e-04,4.00000000e+00*5de7984d"
"#GPSEPHA,96,GPS,FINE,2323,130260000,0,0,18,15;4,129600.0,0,209,209,2323,2323,136800.0,2.656083386e+07,4.472686305e-09,-2.401646632e+00,2.8953765286e-03,-2.9727852534e+00,-7.245689631e-07,7.091090083e-06,2.45125000e+02,-1.32812500e+01,-1.117587090e-08,1.303851604e-08,9.6558540725e-01,1.875078105e-10,-3.008448965e+00,-7.89818613e-09,465,136800.0,-4.656612873e-09,4.0427921e-04,7.7307050e-12,0.0000000e+00,TRUE,1.458544485e-04,4.00000000e+00*74d80d4a"
