ID,Type,Number,Date,Raspberry CPU [°C],Sensor Pressure [mbar],Sensor Temperature [°C],Temperature T0 [°C],Temperature T1 [°C],Temperature T2 [°C],Temperature T3 [°C],Temperature T4 [°C],Voltage [V],Current [mA],Power [mW]
ERRE,TEL,1728,2023-07-15 08:52:50.423541,53.556,None,None,31.22,33.59,33.59,52.46,53.94,11.928,287.927,3423.171
ERRE,TEL,1729,2023-07-15 08:52:53.431917,52.582,None,None,31.05,33.76,33.51,52.26,54.04,11.928,289.512,3448.780
ERRE,TEL,1730,2023-07-15 08:52:56.439914,52.582,None,None,31.13,33.68,33.51,52.26,54.04,11.928,287.317,3436.585
ERRE,TEL,1731,2023-07-15 08:52:59.448032,53.069,None,None,31.13,33.51,33.51,52.46,53.94,11.924,289.817,3446.341
ERRE,TEL,1732,2023-07-15 08:53:02.456455,52.582,None,None,31.13,33.59,33.51,52.36,53.94,11.928,288.232,3412.195
ERRE,TEL,1733,2023-07-15 08:53:05.468193,52.582,None,None,31.22,33.68,33.42,52.36,53.94,11.908,291.220,3445.122
ERRE,TEL,1734,2023-07-15 08:53:08.477121,53.069,None,None,31.13,33.76,33.51,52.36,54.14,11.928,288.720,3442.683
ERRE,TEL,1735,2023-07-15 08:53:11.485282,53.069,None,None,31.13,33.59,33.51,52.46,53.94,11.924,289.634,3454.878
ERRE,TEL,1736,2023-07-15 08:53:14.493335,53.069,None,None,31.30,33.68,33.51,52.36,54.14,11.928,288.720,3430.488
ERRE,TEL,1737,2023-07-15 08:53:17.501408,52.095,None,None,31.13,33.68,33.42,52.46,53.84,11.928,287.622,3423.171
ERRE,TEL,1738,2023-07-15 08:53:20.516827,52.582,None,None,31.13,33.59,33.51,52.56,53.94,11.928,283.415,3420.732
ERRE,TEL,1739,2023-07-15 08:53:23.525961,52.582,None,None,30.96,33.59,33.34,52.46,53.84,11.928,287.866,3423.171
ERRE,TEL,1740,2023-07-15 08:53:26.533987,53.069,None,None,31.05,33.68,33.51,52.36,54.04,11.916,312.805,3420.732
ERRE,TEL,1741,2023-07-15 08:53:29.542106,53.556,None,None,31.13,33.59,33.51,52.36,53.94,11.924,290.061,3460.976
ERRE,TEL,1742,2023-07-15 08:53:32.550132,53.069,None,None,31.13,33.68,33.42,52.46,54.04,11.904,417.988,4975.610
ERRE,TEL,1743,2023-07-15 08:53:35.558300,52.582,None,None,31.13,33.42,33.42,52.46,53.94,11.924,290.610,3464.634
ERRE,TEL,1744,2023-07-15 08:53:38.566382,53.069,None,None,31.13,33.59,33.59,52.46,53.94,11.928,288.049,3436.585
ERRE,TEL,1745,2023-07-15 08:53:41.574370,53.069,None,None,31.05,33.51,33.34,52.46,53.84,11.912,368.232,4391.463
ERRE,TEL,1746,2023-07-15 08:53:44.582423,52.582,None,None,30.88,33.59,33.42,52.36,53.84,11.924,288.110,3424.390
ERRE,TEL,1747,2023-07-15 08:53:47.590474,53.556,None,None,31.13,33.59,33.59,52.36,53.84,11.924,289.512,3452.439
ERRE,TEL,1748,2023-07-15 08:53:50.599492,53.556,None,None,31.05,33.42,33.42,52.46,53.94,11.928,287.622,3430.488
ERRE,TEL,1749,2023-07-15 08:53:53.607533,53.069,None,None,30.96,33.51,33.34,52.46,53.84,11.924,290.061,3460.976
ERRE,TEL,1750,2023-07-15 08:53:56.615547,53.556,None,None,30.96,33.59,33.17,52.36,53.94,11.924,287.439,3429.268
ERRE,TEL,1751,2023-07-15 08:53:59.643341,52.095,None,None,31.13,33.59,33.51,52.36,53.94,11.920,289.634,4146.341
ERRE,TEL,1752,2023-07-15 08:54:02.653318,52.582,None,None,31.13,33.51,33.42,52.36,53.74,11.916,366.707,4371.951
ERRE,TEL,1753,2023-07-15 08:54:05.661428,53.069,None,None,31.13,33.76,33.42,52.46,53.74,11.928,289.817,3467.073
ERRE,TEL,1754,2023-07-15 08:54:08.669578,52.582,None,None,31.05,33.51,33.42,52.36,53.74,11.928,287.256,3426.829
ERRE,TEL,1755,2023-07-15 08:54:11.675765,52.582,None,None,31.05,33.59,33.42,52.36,53.74,11.928,286.159,3424.390
ERRE,TEL,1756,2023-07-15 08:54:14.683883,53.556,None,None,31.13,33.68,33.51,52.36,53.74,11.924,289.512,3458.537
ERRE,TEL,1757,2023-07-15 08:54:17.691944,52.582,None,None,31.13,33.59,33.42,52.36,53.74,11.912,364.634,4343.902
ERRE,TEL,1758,2023-07-15 08:54:20.699978,53.069,None,None,31.13,33.59,33.59,52.26,53.64,11.928,286.463,3417.073
ERRE,TEL,1759,2023-07-15 08:54:23.721232,53.069,None,None,31.13,33.68,33.42,52.26,53.74,11.916,365.915,4343.902
ERRE,TEL,1760,2023-07-15 08:54:26.742667,53.069,None,None,31.13,33.76,33.42,52.36,53.74,11.912,385.488,4350.000
ERRE,TEL,1761,2023-07-15 08:54:29.752159,52.582,None,None,31.22,33.68,33.42,52.26,53.74,11.924,288.354,3439.024
ERRE,TEL,1762,2023-07-15 08:54:32.761552,52.095,None,None,31.13,33.68,33.42,52.36,53.74,11.928,288.537,3490.244
ERRE,TEL,1763,2023-07-15 08:54:35.770051,52.095,None,None,31.13,33.68,33.59,52.26,53.74,11.924,286.159,3407.317
ERRE,TEL,1764,2023-07-15 08:54:38.778050,52.582,None,None,31.13,33.59,33.59,52.26,53.64,11.928,286.524,3417.073
ERRE,TEL,1765,2023-07-15 08:54:41.786664,53.556,None,None,31.13,33.59,33.34,52.36,53.84,11.924,290.610,3467.073
ERRE,TEL,1766,2023-07-15 08:54:44.794731,53.069,None,None,31.05,33.68,33.42,52.36,53.84,11.928,288.659,3429.268
ERRE,TEL,1767,2023-07-15 08:54:47.819809,52.582,None,None,31.05,33.68,33.51,52.36,53.84,11.928,288.232,3590.244
ERRE,TEL,1768,2023-07-15 08:54:50.829941,53.556,None,None,31.13,33.51,33.51,52.26,53.74,11.924,286.524,3418.293
ERRE,TEL,1769,2023-07-15 08:54:53.838041,52.582,None,None,31.30,33.59,33.34,52.36,53.84,11.924,288.720,3439.024
ERRE,TEL,1770,2023-07-15 08:54:56.846107,53.069,None,None,31.13,33.68,33.42,52.26,53.74,11.928,289.451,3434.146
ERRE,TEL,1771,2023-07-15 08:54:59.854394,52.582,None,None,31.13,33.59,33.34,52.26,53.84,11.928,289.939,3454.878
ERRE,TEL,1772,2023-07-15 08:55:02.862641,53.069,None,None,31.30,33.59,33.34,52.17,53.84,11.924,289.024,3439.024
ERRE,TEL,1773,2023-07-15 08:55:05.870633,52.582,None,None,31.13,33.68,33.51,52.17,53.74,11.928,289.756,3489.024
ERRE,TEL,1774,2023-07-15 08:55:08.878733,53.069,None,None,31.13,33.51,33.42,52.17,53.74,11.924,291.037,3470.732
ERRE,TEL,1775,2023-07-15 08:55:11.891257,52.582,None,None,31.30,33.68,33.42,52.26,53.94,11.928,287.134,3414.634
ERRE,TEL,1776,2023-07-15 08:55:14.897566,52.582,None,None,30.96,33.68,33.42,52.26,53.74,11.924,286.951,3408.537
ERRE,TEL,1777,2023-07-15 08:55:17.908414,52.095,None,None,30.96,33.68,33.51,52.17,53.74,11.928,289.756,3456.098
ERRE,TEL,1778,2023-07-15 08:55:20.918024,53.556,None,None,31.05,33.68,33.42,52.26,53.74,11.928,284.634,3396.341
ERRE,TEL,1779,2023-07-15 08:55:23.926706,53.556,None,None,31.05,33.59,33.34,52.26,53.64,11.924,289.817,3456.098
ERRE,TEL,1780,2023-07-15 08:55:26.935240,53.556,None,None,31.13,33.59,33.34,52.26,53.74,11.924,418.110,4795.122
ERRE,TEL,1781,2023-07-15 08:55:29.943925,53.069,None,None,31.13,33.59,33.34,52.17,53.64,11.928,289.634,3460.976
ERRE,TEL,1782,2023-07-15 08:55:32.952019,52.095,None,None,31.22,33.59,33.34,52.17,53.64,11.924,287.622,3446.341
ERRE,TEL,1783,2023-07-15 08:55:35.960131,53.069,None,None,31.13,33.59,33.42,52.17,53.64,11.928,287.317,3420.732
ERRE,TEL,1784,2023-07-15 08:55:38.968173,52.582,None,None,31.05,33.51,33.17,52.17,53.54,11.924,288.110,3434.146
ERRE,TEL,1785,2023-07-15 08:55:41.976212,53.069,None,None,31.05,33.68,33.42,52.17,53.64,11.924,290.061,3460.976
ERRE,TEL,1786,2023-07-15 08:55:44.990283,52.582,None,None,30.96,33.59,33.42,52.17,53.54,11.924,287.134,3448.780
ERRE,TEL,1787,2023-07-15 08:55:47.998904,52.582,None,None,31.05,33.42,33.42,52.07,53.54,11.928,288.537,3440.244
ERRE,TEL,1788,2023-07-15 08:55:51.038637,53.069,None,None,31.05,33.51,33.42,52.17,53.64,11.928,289.024,4018.293
ERRE,TEL,1789,2023-07-15 08:55:54.049501,53.069,None,None,31.22,33.59,33.42,52.17,53.74,11.924,290.427,3484.146
ERRE,TEL,1790,2023-07-15 08:55:57.062623,53.069,None,None,31.05,33.59,33.34,52.36,53.64,11.924,308.232,3451.220
ERRE,TEL,1791,2023-07-15 08:56:00.071020,53.069,None,None,31.05,33.42,33.34,52.07,53.54,11.928,288.537,3446.341
ERRE,TEL,1792,2023-07-15 08:56:03.079040,52.582,None,None,30.70,33.42,33.34,52.07,53.54,11.892,569.207,6760.976
ERRE,TEL,1793,2023-07-15 08:56:06.089518,53.556,None,None,31.13,33.59,33.42,52.17,53.74,11.928,368.720,3436.585
ERRE,TEL,1794,2023-07-15 08:56:09.097588,52.582,None,None,31.05,33.51,33.42,52.17,53.74,11.928,287.561,3430.488
ERRE,TEL,1795,2023-07-15 08:56:12.105661,52.095,None,None,31.13,33.51,33.42,52.26,53.84,11.920,292.317,3486.585
ERRE,TEL,1796,2023-07-15 08:56:15.113747,53.069,None,None,31.05,33.34,33.34,52.17,53.84,11.924,287.927,3432.927
ERRE,TEL,1797,2023-07-15 08:56:18.148055,53.069,None,None,31.13,33.59,33.25,52.46,54.04,11.928,290.854,3445.122
