ID,Type,Number,Date,Raspberry CPU [°C],Sensor Pressure [mbar],Sensor Temperature [°C],Temperature T0 [°C],Temperature T1 [°C],Temperature T2 [°C],Temperature T3 [°C],Temperature T4 [°C],Voltage [V],Current [mA],Power [mW]
ERRE,TEL,648,2023-07-15 11:14:36.011712,50.147,None,None,33.93,36.80,36.63,56.92,59.86,11.928,287.439,3434.146
ERRE,TEL,649,2023-07-15 11:14:39.020027,50.634,None,None,33.93,36.71,36.63,56.71,59.75,11.928,288.049,3436.585
ERRE,TEL,650,2023-07-15 11:14:42.031043,50.147,None,None,34.01,36.71,36.29,56.71,59.75,11.928,287.744,3432.927
ERRE,TEL,651,2023-07-15 11:14:45.057751,50.147,None,None,33.85,36.71,36.63,56.92,59.86,11.928,288.232,3436.585
ERRE,TEL,652,2023-07-15 11:14:48.075192,50.634,None,None,34.01,36.71,36.63,56.82,59.86,11.928,288.537,3442.683
ERRE,TEL,653,2023-07-15 11:14:51.084009,49.66,None,None,33.93,36.71,36.55,56.71,59.97,11.928,284.634,3395.122
ERRE,TEL,654,2023-07-15 11:14:54.091688,50.147,None,None,33.85,36.71,36.63,56.71,59.97,11.928,289.024,3454.878
ERRE,TEL,655,2023-07-15 11:14:57.102848,49.66,None,None,33.85,36.71,36.71,56.82,59.86,11.928,283.354,3380.488
ERRE,TEL,656,2023-07-15 11:15:00.111389,49.173,None,None,33.85,36.71,36.63,56.82,59.75,11.928,285.854,3408.537
ERRE,TEL,657,2023-07-15 11:15:03.119390,50.147,None,None,33.93,36.80,36.63,56.71,59.86,11.928,288.354,3439.024
ERRE,TEL,658,2023-07-15 11:15:06.129895,51.121,None,None,33.85,36.80,36.55,56.82,59.86,11.928,361.037,3407.317
ERRE,TEL,659,2023-07-15 11:15:09.137993,50.634,None,None,33.93,36.80,36.63,56.82,59.86,11.928,286.159,3430.488
ERRE,TEL,660,2023-07-15 11:15:12.146494,50.147,None,None,33.93,36.71,36.63,56.82,59.75,11.896,418.110,4353.659
ERRE,TEL,661,2023-07-15 11:15:15.155126,51.121,None,None,33.93,36.71,36.63,56.71,59.64,11.912,285.549,3389.024
ERRE,TEL,662,2023-07-15 11:15:18.163198,49.173,None,None,33.85,36.71,36.63,56.82,59.64,11.924,288.963,3439.024
ERRE,TEL,663,2023-07-15 11:15:21.174998,50.634,None,None,33.93,36.71,36.63,56.71,59.64,11.928,286.463,3417.073
ERRE,TEL,664,2023-07-15 11:15:24.183413,50.634,None,None,33.85,36.71,36.63,56.82,59.64,11.928,289.329,4280.488
ERRE,TEL,665,2023-07-15 11:15:27.191523,50.634,None,None,33.85,36.71,36.63,56.71,59.64,11.928,287.622,3621.951
ERRE,TEL,666,2023-07-15 11:15:30.199626,50.634,None,None,33.85,36.80,36.63,56.61,59.64,11.928,285.122,4065.854
ERRE,TEL,667,2023-07-15 11:15:33.207685,50.147,None,None,33.76,36.71,36.55,56.61,59.75,11.928,287.744,4021.951
ERRE,TEL,668,2023-07-15 11:15:36.215726,49.173,None,None,34.01,36.71,36.46,56.71,59.64,11.908,421.585,6551.220
ERRE,TEL,669,2023-07-15 11:15:39.223836,50.147,None,None,33.93,36.71,36.63,56.71,59.64,11.928,287.012,3424.390
ERRE,TEL,670,2023-07-15 11:15:42.233663,50.147,None,None,33.93,36.71,36.71,56.71,59.64,11.928,286.463,3417.073
ERRE,TEL,671,2023-07-15 11:15:45.241697,49.66,None,None,33.93,36.71,36.63,56.61,59.75,11.928,284.024,3389.024
ERRE,TEL,672,2023-07-15 11:15:48.264923,50.634,None,None,33.85,36.80,36.63,56.71,59.75,11.928,284.634,3412.195
ERRE,TEL,673,2023-07-15 11:15:51.274483,49.66,None,None,33.85,36.63,36.55,56.61,59.75,11.928,284.756,3379.268
ERRE,TEL,674,2023-07-15 11:15:54.285109,50.147,None,None,33.85,36.71,36.55,56.61,59.75,11.928,288.232,3420.732
ERRE,TEL,675,2023-07-15 11:15:57.293327,51.121,None,None,33.85,36.80,36.63,56.71,59.75,11.916,363.902,4335.366
ERRE,TEL,676,2023-07-15 11:16:00.299731,50.634,None,None,34.01,36.71,36.55,56.50,59.75,11.928,289.024,3436.585
ERRE,TEL,677,2023-07-15 11:16:03.307757,50.147,None,None,33.76,36.80,36.63,56.61,59.75,11.920,282.866,3429.268
ERRE,TEL,678,2023-07-15 11:16:06.315729,50.634,None,None,33.76,36.71,36.55,56.61,59.53,11.928,286.220,3414.634
ERRE,TEL,679,2023-07-15 11:16:09.323786,50.634,None,None,33.76,36.71,36.55,56.61,59.53,11.928,282.866,3389.024
ERRE,TEL,680,2023-07-15 11:16:12.332468,50.634,None,None,33.85,36.71,36.46,56.82,59.64,11.928,286.159,3412.195
ERRE,TEL,681,2023-07-15 11:16:15.340533,50.634,None,None,33.85,36.63,36.55,56.50,59.64,11.928,286.159,3412.195
ERRE,TEL,682,2023-07-15 11:16:18.348547,51.121,None,None,34.01,36.71,36.55,56.71,59.64,11.928,287.866,3434.146
ERRE,TEL,683,2023-07-15 11:16:21.356600,51.121,None,None,33.93,36.80,36.55,56.71,59.64,11.888,501.098,5964.634
ERRE,TEL,684,2023-07-15 11:16:24.363801,50.634,None,None,33.93,36.63,36.46,56.61,59.53,11.928,285.854,3408.537
ERRE,TEL,685,2023-07-15 11:16:27.374554,50.634,None,None,33.85,36.71,36.63,56.71,59.53,11.928,285.122,3417.073
