ID,Type,Number,Date,Raspberry CPU [°C],Sensor Pressure [mbar],Sensor Temperature [°C],Temperature T0 [°C],Temperature T1 [°C],Temperature T2 [°C],Temperature T3 [°C],Temperature T4 [°C],Voltage [V],Current [mA],Power [mW]
ERRE,TEL,3384,2023-07-15 13:31:51.736003,58.913,None,None,26.37,36.97,37.22,119.02,122.37,11.824,954.024,11285.366
ERRE,TEL,3385,2023-07-15 13:31:54.744350,57.452,None,None,26.45,36.88,37.14,120.32,120.32,11.808,1113.476,13143.902
ERRE,TEL,3386,2023-07-15 13:31:57.752411,57.452,None,None,26.19,36.80,37.22,120.99,119.02,11.812,980.366,11601.220
ERRE,TEL,3387,2023-07-15 13:32:00.760521,57.939,None,None,26.45,37.05,37.22,121.67,118.40,11.820,1026.159,11826.829
ERRE,TEL,3388,2023-07-15 13:32:03.768613,58.426,None,None,26.37,36.88,37.14,123.08,117.17,11.756,1231.951,14054.878
ERRE,TEL,3389,2023-07-15 13:32:06.776720,58.426,None,None,26.45,36.88,36.97,124.55,117.78,11.816,931.098,12064.634
ERRE,TEL,3390,2023-07-15 13:32:09.791158,57.939,None,None,26.37,36.97,37.14,126.09,117.17,11.820,972.500,11717.073
ERRE,TEL,3391,2023-07-15 13:32:12.803299,58.426,None,None,26.28,36.88,36.97,126.09,117.78,11.836,1091.159,12884.146
ERRE,TEL,3392,2023-07-15 13:32:15.813840,58.426,None,None,26.19,36.97,37.14,129.42,119.67,11.820,879.939,10181.707
ERRE,TEL,3393,2023-07-15 13:32:18.822150,57.939,None,None,26.37,36.88,37.14,130.30,120.99,11.820,1070.793,12669.512
ERRE,TEL,3394,2023-07-15 13:32:21.836366,57.452,None,None,26.19,36.88,37.22,130.30,119.67,11.832,1041.951,11229.268
ERRE,TEL,3395,2023-07-15 13:32:24.843671,58.426,None,None,26.19,36.88,37.14,130.30,121.67,11.796,1140.427,13457.317
ERRE,TEL,3396,2023-07-15 13:32:27.861487,58.426,None,None,26.37,36.88,37.05,127.71,122.37,11.808,970.976,12136.585
ERRE,TEL,3397,2023-07-15 13:32:30.870389,57.939,None,None,26.10,36.97,37.14,124.55,123.81,11.816,1019.573,11814.634
ERRE,TEL,3398,2023-07-15 13:32:33.881570,58.426,None,None,26.45,36.97,36.97,120.99,123.08,11.812,983.902,12743.902
