ID,Type,Number,Date,Latitude [deg],Longitude [deg],Height [m],Posx [m],Posy [m],Posz [m],Velx [mm/s],Vely [mm/s],Velz [mm/s],nSats,Gyrx [deg/s],Gyry [deg/s],Gyrz [deg/s],Magx [uT],Magy [uT],Magz [uT],CPU Temperature [°C]
ERRE,PVT,36720,2023-09-23 13:05:35.200006,67.88780840403558,21.0811070989138,357.8413451364061,2246771.909181923,866106.0675502889,5886725.615389977,-11,23,6,15,-144,146,92,19,3,78,None
ERRE,PVT,36721,2023-09-23 13:05:35.400006,67.88780846270912,21.081107224559943,357.84123397429613,2246771.9015862383,866106.070281435,5886725.61775047,-3,12,-6,15,-154,183,174,19,3,76,None
ERRE,PVT,36722,2023-09-23 13:05:35.600006,67.8878085452408,21.08110744771909,357.84614603178835,2246771.891980391,866106.0766297467,5886725.625766431,-12,15,22,15,-105,165,173,17,2,77,None
ERRE,PVT,36723,2023-09-23 13:05:35.800006,67.88780858324718,21.081107617373956,357.8418727437667,2246771.88425033,866106.081291279,5886725.6234031925,-3,8,-4,15,-92,116,176,17,3,77,None
ERRE,PVT,36724,2023-09-23 13:05:36.000006,67.88780861730739,21.081107808813773,357.8382836501312,2246771.8768117605,866106.0870463894,5886725.62150814,-4,9,10,15,-110,148,159,18,4,77,None
ERRE,PVT,36725,2023-09-23 13:05:36.200006,67.88780867628493,21.081107923951926,357.83382199128977,2246771.8678175854,866106.0887651445,5886725.619850887,-7,3,11,15,-79,110,105,18,2,75,None
ERRE,PVT,36726,2023-09-23 13:05:36.400006,67.88780871652712,21.081107964718075,357.82604469375576,2246771.860589575,866106.0878149642,5886725.614335236,-3,-10,-5,15,-82,102,58,19,2,75,None
ERRE,PVT,36727,2023-09-23 13:05:36.600006,67.88780876022102,21.081107929556058,357.8174447486307,2246771.85388757,866106.0836476897,5886725.608202372,10,-9,-4,15,-83,110,21,19,2,77,None
ERRE,PVT,36728,2023-09-23 13:05:36.800006,67.88780882126494,21.081107813657187,357.8011262975363,2246771.8440221646,866106.0746245084,5886725.595647168,10,-1,-19,15,-88,77,29,20,2,78,None
ERRE,PVT,36729,2023-09-23 13:05:37.000006,67.88780891326189,21.081107652769152,357.7876329290698,2246771.8328445777,866106.0630691488,5886725.587008859,-11,-27,-25,15,-102,75,39,19,3,76,None
ERRE,PVT,36730,2023-09-23 13:05:37.200007,67.8878089700939,21.081107466813258,357.77180803708023,2246771.8246176485,866106.0515221597,5886725.574734071,-1,-16,-45,15,-122,49,75,19,3,76,None
ERRE,PVT,36731,2023-09-23 13:05:37.400007,67.88780900590335,21.081107239188956,357.7551594811158,2246771.8187583038,866106.0390110713,5886725.560813542,21,-11,-19,15,-122,83,117,19,3,76,None
ERRE,PVT,36732,2023-09-23 13:05:37.700007,67.88780908091192,21.081106971230312,357.7299047087916,2246771.806706326,866106.0222961009,5886725.540565621,23,0,-6,15,-174,61,167,19,3,77,None
ERRE,PVT,36733,2023-09-23 13:05:37.900007,67.88780916554266,21.081106842583097,357.7085705769196,2246771.7929977304,866106.0112172166,5886725.524353969,10,-8,-46,15,-176,28,174,17,3,77,None
ERRE,PVT,36734,2023-09-23 13:05:38.100007,67.88780925918734,21.081106762309638,357.7006377184704,2246771.782395678,866106.0035146625,5886725.520936366,25,-1,6,15,-181,72,151,18,3,78,None
ERRE,PVT,36735,2023-09-23 13:05:38.400007,67.88780946685323,21.081106614522913,357.7144583952794,2246771.7694606683,866105.9918719293,5886725.542459614,14,2,5,15,-188,79,101,18,2,77,None
ERRE,PVT,36736,2023-09-23 13:05:38.600006,67.88780962018845,21.08110658075147,357.72909000639976,2246771.7603255687,866105.986829356,5886725.562453013,10,6,14,15,-184,80,49,19,3,76,None
ERRE,PVT,36737,2023-09-23 13:05:38.900006,67.88780983537345,21.081106648026406,357.7485417293835,2246771.7453923896,866105.9841028937,5886725.589508834,2,11,12,15,-179,117,7,19,2,76,None
ERRE,PVT,36738,2023-09-23 13:05:39.100006,67.88780995094797,21.081106724913912,357.76829680449964,2246771.7400249294,866105.985496869,5886725.61266343,-3,13,13,15,-145,136,50,19,4,77,None
ERRE,PVT,36739,2023-09-23 13:05:39.300006,67.88781005121234,21.08110681114152,357.78757053599935,2246771.7358234287,866105.9877609942,5886725.634729272,9,11,23,15,-139,136,66,19,3,76,None
ERRE,PVT,36740,2023-09-23 13:05:39.500006,67.8878101439182,21.081106893064046,357.8072949384853,2246771.7325740894,866105.9901982632,5886725.656895283,4,16,43,15,-143,137,110,17,2,74,None
ERRE,PVT,36741,2023-09-23 13:05:39.700006,67.88781022194102,21.081106929656656,357.82112841959696,2246771.729356661,866105.9906061391,5886725.672987172,-19,10,-13,15,-98,155,138,18,3,79,None
ERRE,PVT,36742,2023-09-23 13:05:39.900005,67.88781029792473,21.081106975182557,357.8434913908823,2246771.729196605,866105.992594961,5886725.696895582,-14,9,19,15,-91,168,165,20,3,78,None
ERRE,PVT,36743,2023-09-23 13:05:40.100006,67.88781035708489,21.08110708896096,357.86140417544055,2246771.728063917,866105.9972829891,5886725.715974767,-25,2,1,15,-98,134,171,19,3,77,None
ERRE,PVT,36744,2023-09-23 13:05:40.300006,67.88781040002439,21.081107214419678,357.8759056794764,2246771.7271205266,866106.0025700801,5886725.73121253,-12,2,-15,15,-95,130,118,19,3,77,None
