ID,Type,Number,Date,Latitude [deg],Longitude [deg],Height [m],Posx [m],Posy [m],Posz [m],Velx [mm/s],Vely [mm/s],Velz [mm/s],nSats,Gyrx [deg/s],Gyry [deg/s],Gyrz [deg/s],Magx [uT],Magy [uT],Magz [uT],CPU Temperature [°C]
ERRE,PVT,45360,2023-09-23 13:35:44.500006,67.88781236938347,21.081112922625874,360.0344775165251,2246772.2090980816,866106.4454692515,5886727.813704248,-37,-12,-2,15,-131,136,60,18,2,74,None
ERRE,PVT,45361,2023-09-23 13:35:44.700006,67.88781243257988,21.081112685895146,360.02976633495405,2246772.204928477,866106.433199376,5886727.811992958,-4,-6,9,15,-114,137,109,19,0,76,None
ERRE,PVT,45362,2023-09-23 13:35:44.900006,67.88781238723676,21.08111273430143,360.0395785004364,2246772.2120150584,866106.4381114338,5886727.81917964,-1,-8,8,15,-117,114,113,19,0,73,None
ERRE,PVT,45363,2023-09-23 13:35:45.100006,67.88781233528067,21.081112734650294,360.03309389533797,2246772.2147418377,866106.4391782909,5886727.810990546,2,13,-21,15,-113,118,113,19,2,74,None
ERRE,PVT,45364,2023-09-23 13:35:45.300006,67.88781243490902,21.08111274432478,360.0424145850392,2246772.2082630764,866106.4371165448,5886727.823808703,34,17,45,15,-139,103,129,20,1,75,None
ERRE,PVT,45365,2023-09-23 13:35:45.500006,67.88781254927692,21.081112696529402,360.0414499818012,2246772.197619375,866106.4308607713,5886727.827716922,2,-2,-102,15,-154,96,119,18,3,75,None
ERRE,PVT,45366,2023-09-23 13:35:45.700006,67.88781269878999,21.081112646032885,360.05641560530245,2246772.1892229393,866106.4253496333,5886727.84785929,0,6,-10,15,-158,76,122,19,1,75,None
ERRE,PVT,45367,2023-09-23 13:35:45.900006,67.88781284513203,21.081112444239704,360.05708573282817,2246772.1783983344,866106.4120879419,5886727.854624477,-18,-19,-30,15,-159,118,105,19,2,76,None
ERRE,PVT,45368,2023-09-23 13:35:46.100006,67.88781292122064,21.081112300958367,360.074914894831,2246772.1794898435,866106.4060552029,5886727.874336951,4,10,-26,15,-160,96,68,20,1,75,None
ERRE,PVT,45369,2023-09-23 13:35:46.300006,67.88781295520577,21.081112254039674,360.0835303434707,2246772.179948214,866106.4041186452,5886727.8837456275,11,25,38,15,-178,100,79,18,1,77,None
ERRE,PVT,45370,2023-09-23 13:35:46.500006,67.88781292739087,21.081112279470457,360.0741180094677,2246772.1789398394,866106.40487535,5886727.873857742,22,20,-5,15,-182,106,87,20,2,73,None
ERRE,PVT,45371,2023-09-23 13:35:46.700006,67.88781283214698,21.081112347773995,360.0564442075524,2246772.1808832516,866106.4087009595,5886727.8534849435,15,-9,18,15,-138,107,63,18,0,76,None
ERRE,PVT,45372,2023-09-23 13:35:46.900007,67.88781271737676,21.081112456563353,360.0366539376818,2246772.1833540373,866106.4145533788,5886727.83033151,3,-2,-4,15,-166,82,75,17,2,74,None
ERRE,PVT,45373,2023-09-23 13:35:47.100006,67.88781260332448,21.081112675208516,360.02987867378164,2246772.1886662114,866106.4264491141,5886727.819265953,-17,0,-20,15,-154,107,106,19,1,75,None
ERRE,PVT,45374,2023-09-23 13:35:47.300006,67.88781248359616,21.081113095117,360.0377931154936,2246772.1966427327,866106.4484369848,5886727.821571337,-2,1,22,15,-141,128,112,19,2,73,None
ERRE,PVT,45375,2023-09-23 13:35:47.500006,67.88781241089958,21.081113392905188,360.0332625113506,2246772.197559403,866106.4622029648,5886727.814321712,1,7,-44,15,-110,109,124,20,2,76,None
ERRE,PVT,45376,2023-09-23 13:35:47.700006,67.88781240797887,21.08111367533396,360.0328065177446,2246772.193411552,866106.4733248268,5886727.813776628,-16,-11,-38,15,-126,101,88,18,2,75,None
ERRE,PVT,45377,2023-09-23 13:35:47.900006,67.88781230872746,21.081114030429386,360.03973070118553,2246772.2000456145,866106.4918759635,5886727.816024337,5,10,-32,15,-132,118,129,19,0,76,None
ERRE,PVT,45378,2023-09-23 13:35:48.100006,67.88781225056826,21.08111435136423,360.0589933966933,2246772.20756757,866106.5092307539,5886727.83142835,-25,-10,-47,15,-114,127,99,17,1,73,None
ERRE,PVT,45379,2023-09-23 13:35:48.300006,67.88781225584414,21.08111468682945,360.10156187704047,2246772.216939092,866106.5279529921,5886727.871087372,27,19,9,15,-111,101,96,19,1,76,None
ERRE,PVT,45380,2023-09-23 13:35:48.500006,67.88781223709809,21.08111502626386,360.1402580428094,2246772.2272067512,866106.5471994571,5886727.906150305,-2,-2,34,15,-112,154,78,19,1,75,None
ERRE,PVT,45381,2023-09-23 13:35:48.700006,67.88781227398881,21.081115324252234,360.17956340670673,2246772.2329503708,866106.5628351916,5886727.944113605,30,11,63,15,-111,133,101,19,1,76,None
ERRE,PVT,45382,2023-09-23 13:35:48.900006,67.88781236571424,21.081115582085495,360.2007618648476,2246772.227654152,866106.5724065693,5886727.967604089,11,16,41,15,-94,142,89,22,1,75,None
ERRE,PVT,45383,2023-09-23 13:35:49.200006,67.88781259311936,21.08111602330807,360.23939935162065,2246772.212628531,866106.5864873657,5886728.012947614,-35,-37,-25,15,-115,112,107,19,2,76,None
