ID,Type,Number,Date,Latitude [deg],Longitude [deg],Height [m],Posx [m],Posy [m],Posz [m],Velx [mm/s],Vely [mm/s],Velz [mm/s],nSats,Gyrx [deg/s],Gyry [deg/s],Gyrz [deg/s],Magx [uT],Magy [uT],Magz [uT],CPU Temperature [°C]
ERRE,PVT,41040,2023-09-24 06:41:36.500006,67.98200362849025,21.44060798592681,10764.850648372605,2235861.655699542,878053.1353673573,5900320.520997534,-11918,8871,9069,15,-377,236,663,27,-7,70,None
ERRE,PVT,41041,2023-09-24 06:41:36.700006,67.9820228405619,21.440668227226286,10765.944783012925,2235859.2621251037,878054.908731991,5900322.340027036,-11982,8871,8991,15,-309,250,653,28,-6,67,None
ERRE,PVT,41042,2023-09-24 06:41:36.900006,67.98204215831436,21.440728628898263,10767.04468995274,2235856.8579166816,878056.6851403271,5900324.16883387,-12011,8879,9035,15,-192,236,681,29,-6,70,None
ERRE,PVT,41043,2023-09-24 06:41:37.200006,67.98207114127239,21.44081963980778,10768.679007634513,2235853.239307374,878059.3633119442,5900326.897899341,-12091,8921,8987,15,-175,208,713,28,-7,69,None
ERRE,PVT,41044,2023-09-24 06:41:37.400006,67.98209042634706,21.4408804846478,10769.746196488273,2235850.820035311,878061.153756396,5900328.695004639,-12140,8954,8997,15,-247,144,795,30,-7,67,None
ERRE,PVT,41045,2023-09-24 06:41:37.600006,67.98210981024864,21.440941692845755,10770.813582555165,2235848.385733793,878062.9546609782,5900330.496431698,-12186,9006,8983,15,-334,194,825,28,-8,70,None
ERRE,PVT,41046,2023-09-24 06:41:37.800006,67.98212924495007,21.441003105315623,10771.88395697392,2235845.944444922,878064.7620184746,5900332.302756489,-12204,9041,9100,15,-358,174,887,29,-7,68,None
ERRE,PVT,41047,2023-09-24 06:41:38.000006,67.9821487308498,21.441064916622853,10772.947002738245,2235843.4895483945,878066.5819924033,5900334.104431138,-12272,9098,9032,15,-307,106,948,29,-7,68,None
ERRE,PVT,41048,2023-09-24 06:41:38.200006,67.9821682850829,21.441126790869536,10774.028168167973,2235841.0334201274,878068.4043137217,5900335.925765637,-12301,9111,9040,15,-234,32,1020,30,-8,67,None
ERRE,PVT,41049,2023-09-24 06:41:38.400006,67.98218797401127,21.44118893566801,10775.107835040437,2235838.559634861,878070.2318829482,5900337.751352115,-12371,9147,9019,15,-165,27,1097,28,-8,68,None
ERRE,PVT,41050,2023-09-24 06:41:38.600006,67.98220766125691,21.441251392654255,10776.176959003089,2235836.0775462836,878072.0702487885,5900339.567093702,-12373,9209,9062,15,-217,52,1155,28,-8,67,None
ERRE,PVT,41051,2023-09-24 06:41:38.800006,67.98222735422145,21.441314123348707,10777.241881294969,2235833.5892432877,878073.9184983957,5900341.379179167,-12439,9269,9033,15,-290,57,1206,30,-7,69,None
ERRE,PVT,41052,2023-09-24 06:41:39.000006,67.9822470600284,21.441377047254555,10778.309680736114,2235831.097742875,878075.7741909197,5900343.194469417,-12479,9315,9070,15,-312,86,1259,27,-7,68,None
ERRE,PVT,41053,2023-09-24 06:41:39.200006,67.98226680787057,21.441440156090486,10779.37800934173,2235828.5995382215,878077.6355761044,5900345.0120104365,-12509,9343,9129,15,-298,68,1253,28,-7,69,None
ERRE,PVT,41054,2023-09-24 06:41:39.400006,67.98228654820902,21.441503383226536,10780.454618510683,2235826.103131174,878079.5029917625,5900346.836913385,-12543,9371,9103,15,-184,-18,1234,27,-8,67,None
ERRE,PVT,41055,2023-09-24 06:41:39.600006,67.98230631286462,21.441566926287898,10781.529327445018,2235823.5988727054,878081.3815496974,5900348.661072772,-12557,9432,9161,15,-131,-18,1213,29,-7,68,None
ERRE,PVT,41056,2023-09-24 06:41:39.800006,67.98232609597254,21.44163071736274,10782.605173179378,2235821.0894287415,878083.2692380341,5900350.487058488,-12597,9470,9047,15,-167,58,1148,27,-7,69,None
ERRE,PVT,41057,2023-09-24 06:41:40.000006,67.98234589405092,21.44169481136414,10783.682975422087,2235818.5745793968,878085.1684437412,5900352.315484621,-12618,9552,9004,15,-278,86,1093,27,-8,69,None
ERRE,PVT,41058,2023-09-24 06:41:40.200006,67.98236574746376,21.44175916123555,10784.763702096014,2235816.0514921867,878087.0759348811,5900354.1489391215,-12619,9586,9097,15,-301,110,1036,28,-9,70,None
ERRE,PVT,41059,2023-09-24 06:41:40.400006,67.98238550645584,21.44182382508627,10785.833657691306,2235813.5289349975,878088.9977722109,5900355.9684529165,-12656,9642,9009,15,-264,60,971,29,-8,69,None
ERRE,PVT,41060,2023-09-24 06:41:40.600006,67.98240528902141,21.44188871500543,10786.897996833088,2235810.998678299,878090.9267640485,5900357.783746803,-12659,9672,9071,15,-173,-42,884,27,-9,71,None
ERRE,PVT,41061,2023-09-24 06:41:40.800006,67.98242500932018,21.441953863747845,10787.950019252645,2235808.466157677,878092.8665204487,5900359.585013813,-12667,9712,9097,15,-137,-65,809,26,-8,69,None
ERRE,PVT,41062,2023-09-24 06:41:41.000006,67.98244474514048,21.44201914767829,10789.010723756523,2235805.9330959725,878094.8121493473,5900361.394979392,-12709,9760,9092,15,-193,38,724,27,-7,69,None
ERRE,PVT,41063,2023-09-24 06:41:41.200006,67.98246447117032,21.44208470555902,10790.07154512919,2235803.39681801,878096.7688500973,5900363.204642824,-12686,9827,9128,15,-257,65,683,30,-9,72,None
ERRE,PVT,41064,2023-09-24 06:41:41.400006,67.98248421350839,21.442150407090583,10791.124616018133,2235800.8540593446,878098.7294717437,5900365.007803649,-12698,9838,9089,15,-282,42,638,27,-7,67,None
ERRE,PVT,41065,2023-09-24 06:41:41.600006,67.98250394116984,21.442216383272957,10792.179223860576,2235798.309040232,878100.7015721359,5900366.811774187,-12708,9869,9006,15,-194,-14,639,29,-8,68,None
ERRE,PVT,41066,2023-09-24 06:41:41.800007,67.98252364310069,21.44228264993035,10793.226625781539,2235795.759533049,878102.6849891045,5900368.607986206,-12722,9925,9030,15,-151,-47,652,26,-7,68,None
ERRE,PVT,41067,2023-09-24 06:41:42.000007,67.98254335623373,21.442349081804796,10794.28409443387,2235793.2099240245,878104.6758035446,5900370.413999546,-12708,9952,9042,15,-97,6,653,26,-7,72,None
ERRE,PVT,41068,2023-09-24 06:41:42.200006,67.98256304865049,21.44241567858687,10795.341948844922,2235790.659916941,878106.6738851751,5900372.219502404,-12740,10000,9070,15,-86,99,677,28,-8,68,None
ERRE,PVT,41069,2023-09-24 06:41:42.400006,67.98258275812788,21.442482448139348,10796.416176280347,2235788.1113279276,878108.6803014243,5900374.040898342,-12737,10037,9026,15,-175,53,736,26,-7,70,None
ERRE,PVT,41070,2023-09-24 06:41:42.600006,67.982602448361,21.442549290299684,10797.487499846566,2235785.5624655876,878110.6898765595,5900375.858795741,-12740,10079,9042,15,-182,-19,787,27,-7,67,None
ERRE,PVT,41071,2023-09-24 06:41:42.800007,67.98262218115009,21.442616292833943,10798.559829488135,2235783.007391188,878112.7042311965,5900377.679407829,-12755,10080,9058,15,-171,-100,849,25,-8,69,None
ERRE,PVT,41072,2023-09-24 06:41:43.000007,67.98264182423021,21.442683350939742,10799.620480843188,2235780.456036084,878114.7225454844,5900379.485435538,-12718,10103,9016,15,-150,-96,925,27,-8,72,None
ERRE,PVT,41073,2023-09-24 06:41:43.200006,67.98266144996046,21.442750504080802,10800.68159275038,2235777.9050552608,878116.7452831485,5900381.291163107,-12736,10147,9043,15,-149,-50,1008,26,-8,69,None
ERRE,PVT,41074,2023-09-24 06:41:43.400006,67.98268103586022,21.44281770358208,10801.750762184049,2235775.3600128633,878118.7724371736,5900383.102691896,-12738,10159,9007,15,-179,36,1066,25,-8,69,None
ERRE,PVT,41075,2023-09-24 06:41:43.600006,67.98270050656191,21.44288503104088,10802.819242937965,2235772.8238723683,878120.8088467459,5900384.908756878,-12700,10180,9008,15,-241,65,1109,27,-9,72,None
ERRE,PVT,41076,2023-09-24 06:41:43.800006,67.98271998468049,21.442952406940293,10803.88279405693,2235770.2845517076,878122.8461850092,5900386.710561974,-12683,10209,9015,15,-251,-34,1171,26,-9,70,None
ERRE,PVT,41077,2023-09-24 06:41:44.100006,67.9827491068142,21.44305366199255,10805.474068742738,2235766.4803844616,878125.9126873843,5900389.405531552,-12689,10199,8968,15,-230,-50,1143,26,-9,69,None
ERRE,PVT,41078,2023-09-24 06:41:44.300006,67.98276854017789,21.44312116858759,10806.524724275872,2235763.938869193,878127.9550401298,5900391.193505991,-12645,10207,8988,15,-196,-98,1130,26,-10,71,None
ERRE,PVT,41079,2023-09-24 06:41:44.500006,67.98278791786832,21.44318857963683,10807.584264803018,2235761.407283267,878129.9969851992,5900392.987385238,-12615,10229,9022,15,-154,-90,1097,26,-9,69,None
ERRE,PVT,41080,2023-09-24 06:41:44.700006,67.98280724236675,21.44325587770167,10808.640781522783,2235758.881499338,878132.0361160991,5900394.776232913,-12583,10238,8882,15,-155,-41,1067,26,-8,67,None
ERRE,PVT,41081,2023-09-24 06:41:44.900006,67.98282648774708,21.443323206271955,10809.702552139093,2235756.364706074,878134.0801481907,5900396.566637165,-12562,10251,8920,15,-198,5,1010,26,-9,69,None
ERRE,PVT,41082,2023-09-24 06:41:45.100006,67.98284564194365,21.4433904257004,10810.765585961388,2235753.8588144686,878136.1235422367,5900398.354392994,-12524,10228,8958,15,-200,-14,938,25,-10,70,None
ERRE,PVT,41083,2023-09-24 06:41:45.300006,67.98286473189734,21.443457491560864,10811.831933924834,2235751.362623781,878138.163825671,5900400.142530153,-12465,10213,8924,15,-186,25,861,25,-9,70,None
ERRE,PVT,41084,2023-09-24 06:41:45.500007,67.98288376196365,21.44352448383889,10812.902245326499,2235748.8747147904,878140.2040437339,5900401.931833016,-12464,10233,8921,15,-156,-54,795,24,-8,71,None
ERRE,PVT,41085,2023-09-24 06:41:45.700007,67.982902747358,21.443591244595712,10813.97990117117,2235746.3972210158,878142.2379207351,5900403.7260733005,-12400,10186,8906,15,-49,-32,687,24,-8,70,None
ERRE,PVT,41086,2023-09-24 06:41:45.900007,67.9829215251708,21.443657766092823,10815.049075729563,2235743.940444525,878144.2691545679,5900405.503756194,-12341,10184,8947,15,-33,-6,578,24,-7,71,None
ERRE,PVT,41087,2023-09-24 06:41:46.100007,67.98294030703245,21.443724208367453,10816.117606403546,2235741.4842646797,878146.2970506405,5900407.281011366,-12328,10162,8819,15,-47,-10,520,25,-8,72,None
ERRE,PVT,41088,2023-09-24 06:41:46.300007,67.9829590784828,21.443790440218702,10817.207384824967,2235739.0397250904,878148.3200372282,5900409.077528308,-12259,10135,8918,15,-101,60,489,24,-9,70,None
ERRE,PVT,41089,2023-09-24 06:41:46.500007,67.982977864391,21.443856657843426,10818.296825200727,2235736.5938892104,878150.3418700696,5900410.874337031,-12246,10102,8878,15,-73,-8,433,26,-9,71,None
ERRE,PVT,41090,2023-09-24 06:41:46.700007,67.98299657485057,21.443922696488045,10819.38300294938,2235734.156929259,878152.3591239532,5900412.664960648,-12184,10071,8852,15,-23,-10,362,24,-9,69,None
ERRE,PVT,41091,2023-09-24 06:41:46.900007,67.98301531584907,21.443988543702527,10820.47814745001,2235731.723085385,878154.3689757937,5900414.465175805,-12162,10042,8870,15,-17,133,337,25,-8,70,None
ERRE,PVT,41092,2023-09-24 06:41:47.100007,67.9830340699173,21.444054272010135,10821.561308361006,2235729.2856199928,878156.3720457102,5900416.25482834,-12143,10021,8857,15,-73,221,274,25,-8,70,None
ERRE,PVT,41093,2023-09-24 06:41:47.400007,67.98306208234533,21.444152351099227,10823.18064020667,2235725.6468389765,878159.3603618966,5900418.929320958,-12060,9966,8902,15,-132,125,280,25,-9,71,None
ERRE,PVT,41094,2023-09-24 06:41:47.600007,67.98308077453284,21.444217398912343,10824.265070616912,2235723.2262058062,878161.3393837599,5900420.717557726,-12059,9935,8859,15,-100,2,256,25,-9,70,None
ERRE,PVT,41095,2023-09-24 06:41:47.800007,67.98309941880493,21.44428218631947,10825.356234051393,2235720.816530074,878163.3109769218,5900422.510029283,-12023,9876,8838,15,-19,17,198,26,-7,72,None
ERRE,PVT,41096,2023-09-24 06:41:48.000007,67.98311804335853,21.44434676222119,10826.456644288035,2235718.4152210634,878165.2763263525,5900424.310247072,-11991,9831,8876,15,-4,198,184,24,-8,71,None
ERRE,PVT,41097,2023-09-24 06:41:48.200006,67.98313667645246,21.444411313766413,10827.553401692488,2235716.0121849985,878167.2398967026,5900426.107435754,-11997,9820,8829,15,-47,249,215,24,-8,70,None
ERRE,PVT,41098,2023-09-24 06:41:48.400006,67.98315540548438,21.44447563011309,10828.67487397578,2235713.6121260165,878169.1940392049,5900427.9315547785,-11931,9783,8889,15,-92,217,247,24,-10,70,None
ERRE,PVT,41099,2023-09-24 06:41:48.600006,67.98317413419642,21.44453994404823,10829.796738142339,2235711.2122691297,878171.148148806,5900429.756023354,-11922,9755,8916,15,-195,109,216,26,-11,71,None
ERRE,PVT,41100,2023-09-24 06:41:48.800006,67.98319283894082,21.444604204805653,10830.916766861905,2235708.8148950497,878173.1008348053,5900431.577786138,-11898,9719,8885,15,-224,87,214,26,-10,72,None
ERRE,PVT,41101,2023-09-24 06:41:49.000006,67.98321147119536,21.444668275468892,10832.019923061303,2235706.42153334,878175.0465311878,5900433.380870389,-11898,9684,8850,15,-228,152,205,25,-9,70,None
ERRE,PVT,41102,2023-09-24 06:41:49.200006,67.9832300880982,21.4447320611962,10833.11083199646,2235704.029743071,878176.9800074352,5900435.171957184,-11897,9640,8828,15,-100,258,177,24,-8,72,None
ERRE,PVT,41103,2023-09-24 06:41:49.400006,67.9832486186571,21.444795839494464,10834.197499710523,2235701.6449085213,878178.9158776298,5900436.955495346,-11871,9655,8835,15,-41,276,174,26,-9,71,None
ERRE,PVT,41104,2023-09-24 06:41:49.600006,67.98326711531607,21.444859490125737,10835.274738876928,2235699.262006676,878180.8467531487,5900438.728872356,-11881,9588,8837,15,-66,168,148,25,-10,70,None
ERRE,PVT,41105,2023-09-24 06:41:49.800006,67.98328552441563,21.44492270799948,10836.365990735721,2235696.8990660612,878182.7659740957,5900440.51157257,-11828,9534,8877,15,-194,48,104,26,-9,69,None
