ID,Type,Number,Date,Raspberry CPU [°C],Sensor Pressure [mbar],Sensor Temperature [°C],Temperature T0 [°C],Temperature T1 [°C],Temperature T2 [°C],Temperature T3 [°C],Temperature T4 [°C],Voltage [V],Current [mA],Power [mW]
ERRE,TEL,216,2023-07-15 10:24:54.366733,46.738,None,None,37.22,39.51,39.42,47.66,47.47,11.928,328.659,3442.683
ERRE,TEL,217,2023-07-15 10:24:57.375878,47.225,None,None,37.31,39.42,39.34,47.56,47.56,11.928,290.549,3467.073
ERRE,TEL,218,2023-07-15 10:25:00.386323,47.225,None,None,37.31,39.34,39.25,47.66,47.47,11.928,290.366,3470.732
ERRE,TEL,219,2023-07-15 10:25:03.394763,47.712,None,None,37.22,39.34,39.34,47.66,47.47,11.928,289.939,3458.537
ERRE,TEL,220,2023-07-15 10:25:06.406629,45.764,None,None,37.31,39.42,39.25,47.66,47.47,11.928,289.817,3458.537
ERRE,TEL,221,2023-07-15 10:25:09.415597,45.764,None,None,37.22,39.42,39.34,47.84,47.56,11.928,300.610,3467.073
ERRE,TEL,222,2023-07-15 10:25:12.423691,47.712,None,None,37.22,39.25,39.34,47.93,47.66,11.916,438.720,4407.317
ERRE,TEL,223,2023-07-15 10:25:15.433252,47.225,None,None,37.22,39.34,39.34,47.93,47.56,11.912,290.366,3452.439
ERRE,TEL,224,2023-07-15 10:25:18.441440,46.738,None,None,37.22,39.34,39.17,47.93,47.56,11.924,289.756,3456.098
ERRE,TEL,225,2023-07-15 10:25:21.449571,48.199,None,None,37.14,39.34,39.17,48.02,47.66,11.928,290.610,3451.220
ERRE,TEL,226,2023-07-15 10:25:24.457658,46.738,None,None,37.14,39.34,39.17,48.02,47.56,11.928,290.915,3470.732
ERRE,TEL,227,2023-07-15 10:25:27.465731,47.225,None,None,37.14,39.34,39.17,48.02,47.66,11.928,288.354,3439.024
ERRE,TEL,228,2023-07-15 10:25:30.476875,47.712,None,None,36.97,39.17,39.25,47.93,47.56,11.928,292.317,3468.293
ERRE,TEL,229,2023-07-15 10:25:33.485095,47.712,None,None,37.14,39.17,39.08,47.93,47.47,11.928,288.841,3454.878
ERRE,TEL,230,2023-07-15 10:25:36.493328,46.738,None,None,37.05,39.25,39.17,47.93,47.56,11.924,315.061,3865.854
ERRE,TEL,231,2023-07-15 10:25:39.501587,47.225,None,None,37.14,39.17,39.17,47.84,47.47,11.928,288.354,3432.927
ERRE,TEL,232,2023-07-15 10:25:42.509737,47.225,None,None,37.14,39.25,39.17,47.75,47.47,11.928,290.122,3530.488
ERRE,TEL,233,2023-07-15 10:25:45.517739,47.225,None,None,36.97,39.25,39.08,47.75,47.56,11.928,289.024,3446.341
ERRE,TEL,234,2023-07-15 10:25:48.525794,47.712,None,None,37.05,39.25,39.25,47.84,47.56,11.928,289.329,3451.220
ERRE,TEL,235,2023-07-15 10:25:51.539734,46.738,None,None,37.14,39.17,39.08,47.75,47.66,11.928,287.012,3434.146
ERRE,TEL,236,2023-07-15 10:25:54.550712,47.225,None,None,37.14,39.25,39.00,47.75,47.47,11.928,292.927,3474.390
ERRE,TEL,237,2023-07-15 10:25:57.580063,45.764,None,None,36.97,39.08,39.00,47.84,47.56,11.928,289.512,3445.122
ERRE,TEL,238,2023-07-15 10:26:00.591134,48.199,None,None,36.97,39.17,39.00,47.66,47.66,11.928,291.829,3480.488
ERRE,TEL,239,2023-07-15 10:26:03.622903,47.712,None,None,36.97,39.08,39.00,47.84,47.56,11.912,391.524,4653.659
ERRE,TEL,240,2023-07-15 10:26:06.640953,46.251,None,None,36.97,39.08,39.00,47.84,47.47,11.928,288.963,3476.829
ERRE,TEL,241,2023-07-15 10:26:09.681871,47.225,None,None,36.80,39.08,39.08,47.84,47.56,11.916,364.207,4362.195
ERRE,TEL,242,2023-07-15 10:26:12.691548,47.225,None,None,37.05,39.08,39.08,47.84,47.56,11.928,291.220,3610.976
ERRE,TEL,243,2023-07-15 10:26:15.703160,47.712,None,None,36.97,39.08,38.91,48.02,47.56,11.928,288.963,3445.122
ERRE,TEL,244,2023-07-15 10:26:18.711625,47.712,None,None,36.88,39.00,39.00,48.11,47.47,11.928,290.549,3467.073
ERRE,TEL,245,2023-07-15 10:26:21.720070,47.225,None,None,36.97,39.00,38.91,48.30,47.56,11.928,288.537,3442.683
ERRE,TEL,246,2023-07-15 10:26:24.728029,47.712,None,None,36.80,39.00,38.91,48.30,47.56,11.928,289.756,3454.878
ERRE,TEL,247,2023-07-15 10:26:27.736076,47.225,None,None,36.88,39.08,38.91,48.20,47.56,11.928,284.756,3410.976
ERRE,TEL,248,2023-07-15 10:26:30.746072,47.225,None,None,36.80,39.08,38.91,48.20,47.47,11.904,418.598,5001.220
ERRE,TEL,249,2023-07-15 10:26:33.751510,47.712,None,None,36.88,39.00,39.00,48.30,47.47,11.928,375.610,3448.780
ERRE,TEL,250,2023-07-15 10:26:36.764094,48.199,None,None,36.80,39.00,38.91,48.39,47.47,11.928,289.756,3456.098
ERRE,TEL,251,2023-07-15 10:26:39.776370,47.712,None,None,36.88,39.00,38.91,48.30,47.56,11.928,288.049,3429.268
ERRE,TEL,252,2023-07-15 10:26:42.784866,46.738,None,None,36.80,38.91,39.00,48.39,47.47,11.928,289.939,3456.098
ERRE,TEL,253,2023-07-15 10:26:45.792938,47.712,None,None,36.88,39.00,38.91,48.30,47.47,11.928,288.049,3426.829
ERRE,TEL,254,2023-07-15 10:26:48.800948,48.199,None,None,36.71,38.91,38.91,48.20,47.56,11.916,365.732,4357.317
ERRE,TEL,255,2023-07-15 10:26:51.809083,47.712,None,None,36.71,39.00,38.83,48.20,47.66,11.900,529.695,6300.000
ERRE,TEL,256,2023-07-15 10:26:54.817083,46.738,None,None,36.71,38.91,38.91,48.20,47.56,11.928,289.817,3445.122
ERRE,TEL,257,2023-07-15 10:26:57.825181,47.225,None,None,36.80,38.83,38.74,48.11,47.47,11.928,287.134,3417.073
ERRE,TEL,258,2023-07-15 10:27:00.841051,47.225,None,None,36.71,38.91,38.83,48.02,47.47,11.928,288.232,3580.488
ERRE,TEL,259,2023-07-15 10:27:03.852349,47.712,None,None,36.71,38.91,38.74,48.02,47.47,11.928,290.244,3446.341
ERRE,TEL,260,2023-07-15 10:27:06.859551,47.225,None,None,36.63,39.00,38.83,47.93,47.47,11.928,289.939,3446.341
ERRE,TEL,261,2023-07-15 10:27:09.871463,47.712,None,None,36.63,38.83,38.91,47.93,47.47,11.928,288.841,3446.341
ERRE,TEL,262,2023-07-15 10:27:12.895907,46.738,None,None,36.63,38.83,38.83,47.93,47.47,11.916,367.622,4369.512
ERRE,TEL,263,2023-07-15 10:27:15.904844,47.712,None,None,36.71,38.83,38.74,47.93,47.47,11.928,289.146,3460.976
ERRE,TEL,264,2023-07-15 10:27:18.918305,48.199,None,None,36.71,38.83,38.66,47.93,47.47,11.928,289.512,3451.220
ERRE,TEL,265,2023-07-15 10:27:21.929588,47.225,None,None,36.63,38.83,38.74,47.75,47.56,11.928,288.232,3426.829
ERRE,TEL,266,2023-07-15 10:27:24.946280,46.738,None,None,36.63,38.83,38.74,47.75,47.47,11.928,290.854,3462.195
ERRE,TEL,267,2023-07-15 10:27:27.980043,46.251,None,None,36.55,38.83,38.74,47.84,47.47,11.932,296.951,3434.146
ERRE,TEL,268,2023-07-15 10:27:30.997059,47.225,None,None,36.63,38.83,38.66,47.84,47.56,11.928,290.427,3462.195
ERRE,TEL,269,2023-07-15 10:27:34.005212,47.712,None,None,36.55,38.74,38.66,47.84,47.47,11.916,365.549,4365.854
ERRE,TEL,270,2023-07-15 10:27:37.021575,46.738,None,None,36.55,38.74,38.58,47.84,47.47,11.924,289.756,3436.585
