ID,Type,Number,Date,Latitude [deg],Longitude [deg],Height [m],Posx [m],Posy [m],Posz [m],Velx [mm/s],Vely [mm/s],Velz [mm/s],nSats,Gyrx [deg/s],Gyry [deg/s],Gyrz [deg/s],Magx [uT],Magy [uT],Magz [uT],CPU Temperature [°C]
ERRE,PVT,73440,2023-09-24 08:32:19.500014,68.45647944267272,23.165733125916432,27494.159357810116,2168804.854537786,928015.9700120407,5935551.300377625,-9564,6412,1920,15,-141,109,83,18,0,78,None
ERRE,PVT,73441,2023-09-24 08:32:19.700014,68.45649103770575,23.165779944654147,27494.023955065884,2168802.9397642086,928017.2473924136,5935551.651398937,-9556,6423,1898,15,-172,109,71,17,0,75,None
ERRE,PVT,73442,2023-09-24 08:32:19.900014,68.45650270422674,23.16582686649685,27493.90203217634,2168801.0210225955,928018.5276900328,5935552.017898799,-9569,6416,1903,15,-169,119,76,18,0,77,None
ERRE,PVT,73443,2023-09-24 08:32:20.100014,68.45651437241341,23.165873815639394,27493.762644526036,2168799.0957824625,928019.8064272952,5935552.368222256,-9578,6408,1890,15,-151,114,100,18,0,77,None
ERRE,PVT,73444,2023-09-24 08:32:20.300014,68.45652602708489,23.165920884985265,27493.62685879529,2168797.171105397,928021.0907863359,5935552.721339783,-9559,6408,1955,15,-144,109,81,19,-1,76,None
ERRE,PVT,73445,2023-09-24 08:32:20.500014,68.4565377336578,23.165968126993043,27493.530703812656,2168795.2520384486,928022.3852760424,5935553.1134541305,-9577,6420,1880,15,-150,109,70,17,-1,76,None
ERRE,PVT,73446,2023-09-24 08:32:20.700014,68.45654947067325,23.166015302674623,27493.437609808097,2168793.3321622293,928023.6764469066,5935553.509667612,-9568,6402,1904,15,-150,118,71,18,0,77,None
ERRE,PVT,73447,2023-09-24 08:32:20.900014,68.45656123930677,23.166062543419823,27493.35609764348,2168791.4121126253,928024.9704550902,5935553.9179541655,-9559,6440,1994,15,-156,111,84,18,0,76,None
ERRE,PVT,73448,2023-09-24 08:32:21.100014,68.45657302117391,23.166109746711143,27493.2606772062,2168789.486705831,928026.2604913685,5935554.31384819,-9575,6397,1955,15,-148,86,69,18,0,77,None
ERRE,PVT,73449,2023-09-24 08:32:21.300014,68.45658476446988,23.166156984732424,27493.172983677698,2168787.567039285,928027.554536966,5935554.715342424,-9573,6413,1880,15,-161,110,73,18,0,77,None
