ID,Type,Number,Date,Raspberry CPU [°C],Sensor Pressure [mbar],Sensor Temperature [°C],Temperature T0 [°C],Temperature T1 [°C],Temperature T2 [°C],Temperature T3 [°C],Temperature T4 [°C],Voltage [V],Current [mA],Power [mW]
ERRE,TEL,1152,2023-07-15 08:23:56.479606,53.069,None,None,31.39,34.52,34.35,51.97,53.44,11.928,288.049,3434.146
ERRE,TEL,1153,2023-07-15 08:23:59.487905,51.608,None,None,31.56,34.61,34.52,52.07,53.34,11.928,286.524,3417.073
ERRE,TEL,1154,2023-07-15 08:24:02.496096,53.556,None,None,31.64,34.52,34.44,52.07,53.44,11.928,287.866,3430.488
ERRE,TEL,1155,2023-07-15 08:24:05.504199,53.069,None,None,31.64,34.61,34.44,52.17,53.44,11.928,288.537,4613.415
ERRE,TEL,1156,2023-07-15 08:24:08.526799,53.069,None,None,31.47,34.61,34.35,51.97,53.34,11.924,289.756,3442.683
ERRE,TEL,1157,2023-07-15 08:24:11.533549,53.069,None,None,31.47,34.52,34.27,51.97,53.44,11.928,289.024,3460.976
ERRE,TEL,1158,2023-07-15 08:24:14.541619,53.069,None,None,31.81,34.61,34.35,52.07,53.44,11.916,363.537,4337.805
ERRE,TEL,1159,2023-07-15 08:24:17.549634,52.582,None,None,31.56,34.61,34.44,52.07,53.44,11.916,366.707,4368.293
ERRE,TEL,1160,2023-07-15 08:24:20.557633,53.069,None,None,31.64,34.69,34.44,52.07,53.54,11.916,361.037,4302.439
ERRE,TEL,1161,2023-07-15 08:24:23.565781,52.095,None,None,31.47,34.52,34.35,52.07,53.44,11.924,289.268,3439.024
ERRE,TEL,1162,2023-07-15 08:24:26.575805,52.095,None,None,31.47,34.52,34.27,51.97,53.44,11.928,287.012,3445.122
ERRE,TEL,1163,2023-07-15 08:24:29.584075,51.608,None,None,31.64,34.61,34.35,52.17,53.64,11.928,286.829,3417.073
ERRE,TEL,1164,2023-07-15 08:24:32.592122,52.582,None,None,31.56,34.61,34.52,52.07,53.54,11.908,534.756,4979.268
ERRE,TEL,1165,2023-07-15 08:24:35.607799,52.095,None,None,31.47,34.52,34.44,51.88,53.44,11.924,288.537,3452.439
ERRE,TEL,1166,2023-07-15 08:24:38.616761,53.069,None,None,31.64,34.61,34.35,52.17,53.54,11.908,356.037,3452.439
ERRE,TEL,1167,2023-07-15 08:24:41.625076,51.608,None,None,31.47,34.69,34.44,52.07,53.54,11.928,291.463,3476.829
ERRE,TEL,1168,2023-07-15 08:24:44.634075,53.069,None,None,31.64,34.52,34.35,52.17,53.54,11.928,289.939,3454.878
ERRE,TEL,1169,2023-07-15 08:24:47.642143,52.582,None,None,31.39,34.69,34.52,51.97,53.44,11.928,290.610,3467.073
ERRE,TEL,1170,2023-07-15 08:24:50.650171,52.582,None,None,31.56,34.52,34.44,52.17,53.54,11.928,289.024,3429.268
ERRE,TEL,1171,2023-07-15 08:24:53.658189,52.582,None,None,31.64,34.61,34.35,52.07,53.54,11.912,366.098,4365.854
ERRE,TEL,1172,2023-07-15 08:24:56.666172,53.556,None,None,31.64,34.61,34.35,52.07,53.54,11.924,287.561,3436.585
ERRE,TEL,1173,2023-07-15 08:24:59.674306,52.582,None,None,31.64,34.52,34.35,52.07,53.54,11.928,287.317,3418.293
ERRE,TEL,1174,2023-07-15 08:25:02.682415,52.582,None,None,31.56,34.61,34.44,52.07,53.44,11.928,303.963,3702.439
ERRE,TEL,1175,2023-07-15 08:25:05.690460,52.582,None,None,31.47,34.69,34.44,52.07,53.44,11.928,290.549,3470.732
ERRE,TEL,1176,2023-07-15 08:25:08.698501,52.582,None,None,31.47,34.61,34.44,51.97,53.54,11.928,285.549,3401.220
ERRE,TEL,1177,2023-07-15 08:25:11.711821,52.095,None,None,31.64,34.52,34.35,52.17,53.44,11.912,289.817,3470.732
ERRE,TEL,1178,2023-07-15 08:25:14.720749,52.582,None,None,31.56,34.52,34.44,52.07,53.44,11.916,365.610,4647.561
ERRE,TEL,1179,2023-07-15 08:25:17.728897,53.556,None,None,31.56,34.69,34.35,52.07,53.54,11.924,289.817,3987.805
ERRE,TEL,1180,2023-07-15 08:25:20.737047,52.582,None,None,31.47,34.61,34.44,52.07,53.34,11.928,288.232,3439.024
ERRE,TEL,1181,2023-07-15 08:25:23.745098,52.582,None,None,31.56,34.69,34.44,52.17,53.64,11.928,289.268,3432.927
ERRE,TEL,1182,2023-07-15 08:25:26.753225,53.069,None,None,31.64,34.52,34.35,52.36,53.64,11.928,288.232,3439.024
ERRE,TEL,1183,2023-07-15 08:25:29.761323,53.069,None,None,31.64,34.52,34.35,52.36,53.64,11.928,290.732,3468.293
ERRE,TEL,1184,2023-07-15 08:25:32.769355,53.069,None,None,31.47,34.52,34.52,52.46,53.74,11.928,287.256,3426.829
ERRE,TEL,1185,2023-07-15 08:25:35.777881,52.582,None,None,31.56,34.52,34.44,52.46,53.64,11.924,287.622,3454.878
ERRE,TEL,1186,2023-07-15 08:25:38.785952,52.582,None,None,31.56,34.52,34.44,52.36,53.74,11.928,289.146,3439.024
ERRE,TEL,1187,2023-07-15 08:25:41.794118,52.095,None,None,31.47,34.52,34.44,52.36,53.54,11.928,287.012,3408.537
ERRE,TEL,1188,2023-07-15 08:25:44.802150,52.095,None,None,31.56,34.61,34.35,52.26,53.54,11.924,286.951,3430.488
ERRE,TEL,1189,2023-07-15 08:25:47.818022,52.095,None,None,31.56,34.61,34.35,52.26,53.64,11.928,288.720,3442.683
ERRE,TEL,1190,2023-07-15 08:25:50.826152,52.582,None,None,31.56,34.44,34.35,52.36,53.54,11.928,287.134,3424.390
ERRE,TEL,1191,2023-07-15 08:25:53.836581,52.095,None,None,31.56,34.44,34.35,52.26,53.44,11.924,289.817,3445.122
ERRE,TEL,1192,2023-07-15 08:25:56.845490,52.095,None,None,31.64,34.44,34.44,52.36,53.34,11.924,290.122,3460.976
ERRE,TEL,1193,2023-07-15 08:25:59.857400,53.556,None,None,31.56,34.52,34.35,52.17,53.44,11.924,289.817,3454.878
ERRE,TEL,1194,2023-07-15 08:26:02.865927,52.582,None,None,31.47,34.44,34.35,52.17,53.44,11.916,289.512,3445.122
ERRE,TEL,1195,2023-07-15 08:26:05.875793,53.556,None,None,31.56,34.69,34.44,52.07,53.34,11.912,286.951,3420.732
ERRE,TEL,1196,2023-07-15 08:26:08.883869,52.582,None,None,31.56,34.44,34.52,52.26,53.44,11.928,289.939,3458.537
ERRE,TEL,1197,2023-07-15 08:26:11.904063,52.095,None,None,31.47,34.61,34.35,52.17,53.54,11.904,416.402,4964.634
ERRE,TEL,1198,2023-07-15 08:26:14.915927,52.582,None,None,31.47,34.52,34.35,52.26,53.54,11.928,287.012,3417.073
ERRE,TEL,1199,2023-07-15 08:26:17.924390,52.582,None,None,31.47,34.61,34.27,51.97,53.34,11.924,287.561,3429.268
ERRE,TEL,1200,2023-07-15 08:26:20.932466,53.069,None,None,31.64,34.52,34.35,52.07,53.44,11.928,287.866,3434.146
