ID,Type,Number,Date,Raspberry CPU [°C],Sensor Pressure [mbar],Sensor Temperature [°C],Temperature T0 [°C],Temperature T1 [°C],Temperature T2 [°C],Temperature T3 [°C],Temperature T4 [°C],Voltage [V],Current [mA],Power [mW]
ERRE,TEL,432,2023-07-15 10:35:44.721467,49.173,None,None,34.86,37.56,37.39,48.39,47.93,11.928,290.427,3464.634
ERRE,TEL,433,2023-07-15 10:35:47.731077,48.686,None,None,34.86,37.47,37.47,48.48,47.93,11.908,287.317,4503.659
ERRE,TEL,434,2023-07-15 10:35:50.739187,49.173,None,None,35.03,37.64,37.39,48.30,47.93,11.928,289.024,3446.341
ERRE,TEL,435,2023-07-15 10:35:53.751889,48.199,None,None,34.86,37.56,37.47,48.39,47.93,11.928,286.768,3418.293
ERRE,TEL,436,2023-07-15 10:35:56.760350,49.66,None,None,34.94,37.56,37.31,48.48,47.93,11.928,288.841,3464.634
ERRE,TEL,437,2023-07-15 10:35:59.768366,49.173,None,None,35.03,37.64,37.39,48.39,47.93,11.928,287.927,3434.146
ERRE,TEL,438,2023-07-15 10:36:02.777116,50.147,None,None,34.86,37.47,37.31,48.48,48.02,11.928,288.354,3439.024
ERRE,TEL,439,2023-07-15 10:36:05.785296,49.173,None,None,34.86,37.73,37.39,48.39,48.02,11.928,287.012,3423.171
ERRE,TEL,440,2023-07-15 10:36:08.798415,49.173,None,None,35.03,37.56,37.39,48.39,48.11,11.924,285.366,3404.878
ERRE,TEL,441,2023-07-15 10:36:11.806915,49.66,None,None,34.94,37.56,37.39,48.48,48.02,11.928,304.207,3558.537
ERRE,TEL,442,2023-07-15 10:36:14.818011,49.173,None,None,34.77,37.56,37.31,48.39,48.02,11.928,286.463,3412.195
ERRE,TEL,443,2023-07-15 10:36:17.826398,49.66,None,None,34.94,37.56,37.31,48.48,47.93,11.928,288.537,3442.683
ERRE,TEL,444,2023-07-15 10:36:20.839189,49.66,None,None,34.86,37.56,37.31,48.48,48.11,11.928,288.720,3439.024
