ID,Type,Number,Date,Raspberry CPU [°C],Sensor Pressure [mbar],Sensor Temperature [°C],Temperature T0 [°C],Temperature T1 [°C],Temperature T2 [°C],Temperature T3 [°C],Temperature T4 [°C],Voltage [V],Current [mA],Power [mW]
ERRE,TEL,2016,2023-07-15 12:23:13.975765,49.173,None,None,33.68,35.79,35.62,57.67,59.86,11.856,991.402,11742.683
ERRE,TEL,2017,2023-07-15 12:23:16.994805,48.686,None,None,33.76,35.70,35.53,57.56,59.86,11.848,967.500,11451.220
ERRE,TEL,2018,2023-07-15 12:23:20.003664,49.173,None,None,33.51,35.95,35.53,57.56,59.75,11.832,983.780,11867.073
ERRE,TEL,2019,2023-07-15 12:23:23.011637,49.66,None,None,33.59,35.62,35.53,57.45,59.75,11.844,976.402,11984.146
ERRE,TEL,2020,2023-07-15 12:23:26.019680,48.686,None,None,33.85,35.62,35.53,57.56,59.75,11.816,1123.049,13519.512
ERRE,TEL,2021,2023-07-15 12:23:29.035013,49.66,None,None,33.59,35.95,35.62,57.45,59.75,11.828,920.915,10259.756
ERRE,TEL,2022,2023-07-15 12:23:32.043964,50.147,None,None,33.68,35.79,35.70,57.45,59.64,11.848,1001.280,11842.683
ERRE,TEL,2023,2023-07-15 12:23:35.052049,49.173,None,None,33.68,35.70,35.62,57.45,59.75,11.828,1017.500,12039.024
ERRE,TEL,2024,2023-07-15 12:23:38.060201,49.66,None,None,33.51,35.62,35.62,57.45,59.53,11.816,1130.976,12947.561
ERRE,TEL,2025,2023-07-15 12:23:41.072919,50.147,None,None,33.51,35.62,35.53,57.67,59.75,11.812,1122.256,12947.561
ERRE,TEL,2026,2023-07-15 12:23:44.096101,50.147,None,None,33.51,35.79,35.70,57.56,59.64,11.844,1033.659,11336.585
ERRE,TEL,2027,2023-07-15 12:23:47.134915,50.147,None,None,33.42,35.87,35.62,57.56,59.75,11.828,968.476,10512.195
ERRE,TEL,2028,2023-07-15 12:23:50.145854,49.66,None,None,33.68,35.79,35.53,57.56,59.75,11.852,831.829,9852.439
ERRE,TEL,2029,2023-07-15 12:23:53.153908,49.66,None,None,33.51,35.70,35.53,57.56,59.75,11.836,925.915,10893.902
ERRE,TEL,2030,2023-07-15 12:23:56.162000,49.66,None,None,33.42,35.70,35.53,57.35,59.75,11.820,1058.659,12525.610
ERRE,TEL,2031,2023-07-15 12:23:59.169999,50.147,None,None,33.76,35.79,35.79,57.56,59.86,11.836,972.073,10297.561
ERRE,TEL,2032,2023-07-15 12:24:02.178000,49.66,None,None,33.51,35.87,35.53,57.45,59.75,11.852,976.768,11573.171
ERRE,TEL,2033,2023-07-15 12:24:05.196226,49.173,None,None,33.51,35.62,35.70,57.45,59.75,11.828,997.805,11810.976
ERRE,TEL,2034,2023-07-15 12:24:08.206320,50.147,None,None,33.59,35.53,35.45,57.45,59.75,11.828,903.902,11229.268
ERRE,TEL,2035,2023-07-15 12:24:11.214798,49.173,None,None,33.76,35.87,35.53,57.45,59.75,11.800,1212.134,14304.878
ERRE,TEL,2036,2023-07-15 12:24:14.222958,50.147,None,None,33.68,35.62,35.53,57.67,59.75,11.840,996.585,10715.854
ERRE,TEL,2037,2023-07-15 12:24:17.230988,50.634,None,None,33.68,35.62,35.70,57.45,59.86,11.836,1003.293,11664.634
ERRE,TEL,2038,2023-07-15 12:24:20.241984,50.147,None,None,33.68,35.79,35.53,57.56,59.75,11.840,956.280,10171.951
ERRE,TEL,2039,2023-07-15 12:24:23.250268,50.634,None,None,33.42,35.87,35.70,57.45,59.75,11.824,915.793,10828.049
ERRE,TEL,2040,2023-07-15 12:24:26.266439,49.66,None,None,33.42,35.70,35.45,57.56,59.64,11.828,977.378,11917.073
ERRE,TEL,2041,2023-07-15 12:24:29.275528,48.686,None,None,33.42,35.79,35.62,57.45,59.86,11.848,856.890,10146.341
ERRE,TEL,2042,2023-07-15 12:24:32.283527,49.66,None,None,33.59,35.62,35.62,57.45,59.75,11.828,978.293,11567.073
ERRE,TEL,2043,2023-07-15 12:24:35.299662,49.66,None,None,33.68,35.62,35.62,57.56,59.75,11.832,989.085,11702.439
ERRE,TEL,2044,2023-07-15 12:24:38.310173,49.173,None,None,33.42,35.79,35.45,57.35,59.64,11.844,971.098,11918.293
ERRE,TEL,2045,2023-07-15 12:24:41.315675,49.173,None,None,33.42,35.62,35.53,57.35,59.75,11.832,957.073,11320.732
ERRE,TEL,2046,2023-07-15 12:24:44.323747,50.147,None,None,33.42,35.79,35.70,57.45,59.75,11.820,887.683,10496.341
ERRE,TEL,2047,2023-07-15 12:24:47.331795,49.173,None,None,33.34,35.70,35.53,57.56,59.64,11.828,1021.463,12093.902
ERRE,TEL,2048,2023-07-15 12:24:50.343071,49.173,None,None,33.34,35.79,35.62,57.45,59.75,11.808,1313.902,15081.707
ERRE,TEL,2049,2023-07-15 12:24:53.351456,49.66,None,None,33.42,35.70,35.62,57.56,59.75,11.832,977.073,11568.293
ERRE,TEL,2050,2023-07-15 12:24:56.359577,49.173,None,None,33.34,35.70,35.70,57.45,59.75,11.844,951.280,11263.415
ERRE,TEL,2051,2023-07-15 12:24:59.367648,49.66,None,None,33.51,35.79,35.53,57.45,59.86,11.824,992.805,11739.024
ERRE,TEL,2052,2023-07-15 12:25:02.378720,49.66,None,None,33.51,35.70,35.45,57.45,59.86,11.840,975.915,10795.122
ERRE,TEL,2053,2023-07-15 12:25:05.392274,49.66,None,None,33.34,35.62,35.62,57.45,59.75,11.812,1059.085,12309.756
ERRE,TEL,2054,2023-07-15 12:25:08.401003,49.66,None,None,33.59,35.62,35.62,57.35,59.75,11.836,901.890,10753.659
ERRE,TEL,2055,2023-07-15 12:25:11.409623,50.147,None,None,33.34,35.79,35.53,57.35,59.86,11.780,1273.110,15764.634
ERRE,TEL,2056,2023-07-15 12:25:14.417681,50.147,None,None,33.25,35.70,35.79,57.45,59.75,11.812,1128.476,12787.805
ERRE,TEL,2057,2023-07-15 12:25:17.425825,50.634,None,None,33.42,35.70,35.62,57.45,59.75,11.828,923.110,10919.512
ERRE,TEL,2058,2023-07-15 12:25:20.437689,49.66,None,None,33.42,35.79,35.53,57.35,59.75,11.820,863.902,11862.195
ERRE,TEL,2059,2023-07-15 12:25:23.446055,50.147,None,None,33.59,36.04,35.62,57.45,59.86,11.848,1029.695,10353.659
ERRE,TEL,2060,2023-07-15 12:25:26.461465,49.173,None,None,33.59,35.70,35.70,57.45,59.86,11.828,974.878,11568.293
