ID,Type,Number,Date,Latitude [deg],Longitude [deg],Height [m],Posx [m],Posy [m],Posz [m],Velx [mm/s],Vely [mm/s],Velz [mm/s],nSats,Gyrx [deg/s],Gyry [deg/s],Gyrz [deg/s],Magx [uT],Magy [uT],Magz [uT],CPU Temperature [°C]
ERRE,PVT,38891,2023-09-24 06:34:16.300003,67.93823498170431,21.3349123253772,8517.752369227444,2240913.445687212,875269.048136425,5896402.987285673,-12165,4555,9688,15,-95,146,678,24,1,74,None
ERRE,PVT,38892,2023-09-24 06:34:16.500002,67.93825753729475,21.33495364186064,8518.810739072629,2240911.010163985,875269.9593199276,5896404.914345112,-12169,4525,9643,15,-68,210,674,24,2,74,None
ERRE,PVT,38893,2023-09-24 06:34:16.700003,67.93828012419189,21.334994879692616,8519.887393204857,2240908.5792197036,875270.8687434604,5896406.859662739,-12151,4532,9676,15,-18,164,675,27,2,71,None
ERRE,PVT,38894,2023-09-24 06:34:16.900003,67.9383027677653,21.335036178971226,8520.96248875823,2240906.1413259017,875271.7782194925,5896408.805912811,-12168,4528,9668,15,-35,83,644,26,3,72,None
ERRE,PVT,38895,2023-09-24 06:34:17.100003,67.93832543613436,21.335077334511325,8522.041848699102,2240903.7047280073,875272.6817192538,5896410.757154578,-12162,4508,9627,15,-84,43,568,25,3,71,None
ERRE,PVT,38896,2023-09-24 06:34:17.300003,67.93834810794846,21.335118449322234,8523.123268697664,2240901.2691396666,875273.583774356,5896412.710449479,-12158,4515,9672,15,-110,15,510,27,0,74,None
ERRE,PVT,38897,2023-09-24 06:34:17.500003,67.93837077725006,21.33515947918178,8524.207325569207,2240898.8360126233,875274.4829584002,5896414.666082177,-12135,4505,9686,15,-132,116,448,26,2,72,None
ERRE,PVT,38898,2023-09-24 06:34:17.700003,67.93839344230166,21.33520037144018,8525.293884836112,2240896.4062716477,875275.377259266,5896416.623855163,-12123,4481,9727,15,-215,133,416,26,2,73,None
ERRE,PVT,38899,2023-09-24 06:34:17.900002,67.93841612021066,21.335241293446966,8526.379791983649,2240893.9746072195,875276.2721468693,5896418.5815625265,-12124,4465,9674,15,-199,68,369,24,1,73,None
ERRE,PVT,38900,2023-09-24 06:34:18.100002,67.93843873453245,21.335282178819728,8527.462752276222,2240891.5486008218,875277.1675901049,5896420.533870797,-12122,4468,9619,15,-189,-53,392,26,2,72,None
ERRE,PVT,38901,2023-09-24 06:34:18.300002,67.93846127200177,21.335323001657066,8528.542606526857,2240889.129871393,875278.0630537593,5896422.480075988,-12107,4441,9691,15,-55,-132,419,25,2,72,None
ERRE,PVT,38902,2023-09-24 06:34:18.500002,67.9384837527346,21.33536387038809,8529.627793404841,2240886.717775443,875278.9631742536,5896424.428842747,-12093,4455,9637,15,-132,-37,487,27,3,72,None
ERRE,PVT,38903,2023-09-24 06:34:18.700002,67.93850626853873,21.33540460462605,8530.715824382041,2240884.3053465644,875279.8570991232,5896426.381715962,-12077,4446,9677,15,-247,145,509,26,0,74,None
ERRE,PVT,38904,2023-09-24 06:34:18.900002,67.93852879129061,21.335445221974986,8531.806027649802,2240881.894792263,875280.7464841709,5896428.336893273,-12071,4430,9659,15,-288,205,546,26,1,73,None
ERRE,PVT,38905,2023-09-24 06:34:19.100002,67.93855130940881,21.33548578098049,8532.890836030208,2240879.483687314,875281.6330212239,5896430.286875733,-12082,4423,9661,15,-259,103,593,26,2,71,None
ERRE,PVT,38906,2023-09-24 06:34:19.300002,67.93857377208222,21.33552631747118,8533.971512542259,2240877.076825109,875282.5201976461,5896432.230702435,-12056,4408,9646,15,-253,-4,646,26,1,74,None
ERRE,PVT,38907,2023-09-24 06:34:19.500002,67.93859617915761,21.335566856350052,8535.044009706964,2240874.6724239504,875283.4084400889,5896434.164615825,-12018,4413,9703,15,-289,-1,700,26,1,74,None
