ID,Type,Number,Date,Raspberry CPU [°C],Sensor Pressure [mbar],Sensor Temperature [°C],Temperature T0 [°C],Temperature T1 [°C],Temperature T2 [°C],Temperature T3 [°C],Temperature T4 [°C],Voltage [V],Current [mA],Power [mW]
ERRE,TEL,2232,2023-07-15 12:34:04.252001,50.147,None,None,32.07,35.53,35.28,62.28,62.64,11.808,1050.000,13480.488
ERRE,TEL,2233,2023-07-15 12:34:07.260348,50.147,None,None,31.98,35.36,35.28,62.28,62.76,11.816,1023.902,12374.390
ERRE,TEL,2234,2023-07-15 12:34:10.268432,51.121,None,None,32.15,35.45,35.45,62.16,62.88,11.820,1025.000,11326.829
ERRE,TEL,2235,2023-07-15 12:34:13.278730,50.147,None,None,32.32,35.36,35.36,62.28,63.12,11.820,1020.366,11645.122
ERRE,TEL,2236,2023-07-15 12:34:16.289371,50.147,None,None,32.07,35.53,35.28,62.28,63.24,11.828,927.683,11960.976
ERRE,TEL,2237,2023-07-15 12:34:19.298914,49.66,None,None,32.15,35.45,35.28,62.28,63.36,11.812,1081.280,12656.098
ERRE,TEL,2238,2023-07-15 12:34:22.307944,49.66,None,None,31.98,35.45,35.28,62.52,63.36,11.796,1210.061,14274.390
ERRE,TEL,2239,2023-07-15 12:34:25.315931,50.147,None,None,32.15,35.28,35.28,62.52,63.36,11.832,1016.707,12018.293
ERRE,TEL,2240,2023-07-15 12:34:28.323648,50.634,None,None,31.98,35.36,35.28,62.88,63.60,11.812,1088.780,14240.244
ERRE,TEL,2241,2023-07-15 12:34:31.334873,50.634,None,None,31.98,35.28,35.11,63.12,63.97,11.824,962.012,11447.561
ERRE,TEL,2242,2023-07-15 12:34:34.343446,50.147,None,None,32.15,35.45,35.45,63.36,64.10,11.824,1005.061,12032.927
ERRE,TEL,2243,2023-07-15 12:34:37.351471,50.147,None,None,32.32,35.62,35.28,63.36,63.97,11.820,1023.659,12791.463
ERRE,TEL,2244,2023-07-15 12:34:40.359582,50.634,None,None,32.32,35.36,35.28,63.48,64.10,11.820,951.280,11904.878
ERRE,TEL,2245,2023-07-15 12:34:43.367630,50.147,None,None,31.98,35.62,35.28,63.73,64.34,11.820,1000.793,11828.049
ERRE,TEL,2246,2023-07-15 12:34:46.375666,50.634,None,None,31.98,35.36,35.11,63.85,64.22,11.816,960.488,11353.659
ERRE,TEL,2247,2023-07-15 12:34:49.383754,49.66,None,None,32.07,35.36,35.11,63.85,64.34,11.788,1178.171,12937.805
ERRE,TEL,2248,2023-07-15 12:34:52.392604,49.173,None,None,32.24,35.45,35.45,63.97,64.59,11.816,964.268,11667.073
ERRE,TEL,2249,2023-07-15 12:34:55.401605,51.121,None,None,32.15,35.36,35.28,63.97,64.59,11.828,1009.085,11932.927
ERRE,TEL,2250,2023-07-15 12:34:58.409699,51.121,None,None,32.15,35.45,35.28,63.97,64.84,11.824,1067.073,12603.659
ERRE,TEL,2251,2023-07-15 12:35:01.418083,49.173,None,None,32.07,35.53,35.20,64.22,64.84,11.828,968.720,11458.537
ERRE,TEL,2252,2023-07-15 12:35:04.431787,51.121,None,None,32.15,35.53,35.36,64.34,64.72,11.832,950.122,11451.220
ERRE,TEL,2253,2023-07-15 12:35:07.440544,50.147,None,None,31.90,35.36,35.45,64.72,64.84,11.820,1112.866,13145.122
ERRE,TEL,2254,2023-07-15 12:35:10.447625,51.608,None,None,31.98,35.45,35.20,64.97,65.09,11.808,1034.573,13126.829
ERRE,TEL,2255,2023-07-15 12:35:13.455640,49.66,None,None,31.98,35.36,35.36,65.09,65.35,11.828,989.695,11948.780
