ID,Type,Number,Date,Raspberry CPU [°C],Sensor Pressure [mbar],Sensor Temperature [°C],Temperature T0 [°C],Temperature T1 [°C],Temperature T2 [°C],Temperature T3 [°C],Temperature T4 [°C],Voltage [V],Current [mA],Power [mW]
ERRE,TEL,360,2023-07-15 11:00:09.157682,48.199,None,None,35.95,37.81,37.56,54.85,54.75,11.916,364.817,4347.561
ERRE,TEL,361,2023-07-15 11:00:12.166002,47.225,None,None,35.79,37.81,37.64,54.85,54.75,11.928,289.756,3446.341
ERRE,TEL,362,2023-07-15 11:00:15.174068,48.199,None,None,35.79,37.81,37.64,54.85,54.85,11.928,407.195,4473.171
ERRE,TEL,363,2023-07-15 11:00:18.187819,47.712,None,None,35.79,37.73,37.73,54.75,54.75,11.928,289.634,3445.122
ERRE,TEL,364,2023-07-15 11:00:21.196481,47.225,None,None,35.79,37.73,37.64,54.75,55.05,11.928,283.049,4069.512
ERRE,TEL,365,2023-07-15 11:00:24.203734,48.199,None,None,35.79,37.73,37.64,54.75,55.57,11.928,288.659,3426.829
ERRE,TEL,366,2023-07-15 11:00:27.215198,48.199,None,None,35.79,37.64,37.73,54.54,55.67,11.928,286.463,3423.171
ERRE,TEL,367,2023-07-15 11:00:30.226613,48.199,None,None,35.62,37.73,37.64,54.44,56.08,11.908,424.024,5048.780
ERRE,TEL,368,2023-07-15 11:00:33.260846,48.686,None,None,35.70,37.64,37.64,54.54,56.40,11.928,286.951,3439.024
ERRE,TEL,369,2023-07-15 11:00:36.273407,47.225,None,None,35.79,37.81,37.64,54.54,56.82,11.928,286.951,3404.878
ERRE,TEL,370,2023-07-15 11:00:39.281932,47.712,None,None,35.79,37.81,37.64,54.54,57.03,11.928,287.622,3414.634
ERRE,TEL,371,2023-07-15 11:00:42.295771,48.199,None,None,35.62,37.81,37.64,54.54,57.24,11.928,287.134,3451.220
ERRE,TEL,372,2023-07-15 11:00:45.308105,47.712,None,None,35.70,37.47,37.47,54.34,57.13,11.916,364.024,4340.244
ERRE,TEL,373,2023-07-15 11:00:48.321730,47.225,None,None,35.70,37.64,37.56,54.44,57.45,11.928,287.012,3434.146
ERRE,TEL,374,2023-07-15 11:00:51.335517,47.712,None,None,35.70,37.73,37.64,54.44,57.56,11.912,366.341,4335.366
