ID,Type,Number,Date,Latitude [deg],Longitude [deg],Height [m],Posx [m],Posy [m],Posz [m],Velx [mm/s],Vely [mm/s],Velz [mm/s],nSats,Gyrx [deg/s],Gyry [deg/s],Gyrz [deg/s],Magx [uT],Magy [uT],Magz [uT],CPU Temperature [°C]
ERRE,PVT,6480,2023-09-24 04:42:12.300000,67.8892161515687,21.08124880053091,360.86510712866504,2246635.093007703,866059.7083754367,5886787.520969814,-42,-4,11,15,-188,23,98,29,-4,71,None
ERRE,PVT,6481,2023-09-24 04:42:12.500000,67.8892162543406,21.08124889759482,360.90446306146833,2246635.095453194,866059.7136897296,5886787.561746168,-31,5,22,15,-200,20,123,27,-4,68,None
ERRE,PVT,6482,2023-09-24 04:42:12.700000,67.88921635857038,21.081248977632118,360.9465875968974,2246635.0989878303,866059.7186570329,5886787.605148722,-17,3,23,15,-182,21,111,28,-4,70,None
ERRE,PVT,6483,2023-09-24 04:42:12.900000,67.8892164424337,21.08124904807705,360.986795921412,2246635.1039582365,866059.7237457916,5886787.645920931,-24,4,10,15,-165,70,99,26,-5,69,None
ERRE,PVT,6484,2023-09-24 04:42:13.099999,67.88921652586473,21.08124905584754,361.0232782478098,2246635.1086090943,866059.7258886279,5886787.683223008,-13,-1,-12,15,-150,112,89,27,-4,69,None
ERRE,PVT,6485,2023-09-24 04:42:13.299999,67.88921661257018,21.081249048976794,361.06020136506316,2246635.1133203423,866059.7273953308,5886787.721070935,4,3,24,15,-132,102,99,26,-5,71,None
ERRE,PVT,6486,2023-09-24 04:42:13.500000,67.88921668480025,21.08124835168141,361.04443194027454,2246635.1113575296,866059.6952338096,5886787.7094937125,27,1,16,15,-116,190,98,28,-5,70,None
ERRE,PVT,6487,2023-09-24 04:42:13.700000,67.8892167439425,21.08124701218658,360.9749781008337,2246635.101509556,866059.6311091686,5886787.647630671,28,-14,6,15,-91,190,84,28,-4,67,None
ERRE,PVT,6488,2023-09-24 04:42:13.900000,67.88921680330434,21.08124576467252,360.91230502004635,2246635.0926315123,866059.5715010703,5886787.592058934,44,-9,-4,15,-105,194,99,27,-5,69,None
ERRE,PVT,6489,2023-09-24 04:42:14.100000,67.88921684381518,21.081244527013098,360.85692159607066,2246635.0879823216,866059.5139669958,5886787.542449324,39,-14,-16,15,-78,213,102,27,-4,70,None
ERRE,PVT,6490,2023-09-24 04:42:14.300000,67.88921686492189,21.081243315462924,360.8079880556086,2246635.0870746896,866059.459051174,5886787.498000601,43,4,9,15,-72,207,103,26,-5,69,None
ERRE,PVT,6491,2023-09-24 04:42:14.500000,67.88921684533403,21.081243380343885,360.8574044298707,2246635.105338028,866059.4690136579,5886787.5429604165,48,5,5,15,-49,173,104,27,-5,68,None
ERRE,PVT,6492,2023-09-24 04:42:14.800000,67.88921679998823,21.081243457677804,360.9281598111873,2246635.1333911517,866059.4833108819,5886787.606608508,44,-4,33,15,-74,172,112,27,-5,68,None
ERRE,PVT,6493,2023-09-24 04:42:15,67.88921676173112,21.081243520954352,360.9690113355947,2246635.150470821,866059.4927448113,5886787.642849547,27,-7,39,15,-112,157,140,27,-5,68,None
ERRE,PVT,6494,2023-09-24 04:42:15.199999,67.88921672065344,21.081243618663816,361.0056255489068,2246635.1658138107,866059.5030600587,5886787.6750464775,21,3,15,15,-127,119,104,28,-4,70,None
ERRE,PVT,6495,2023-09-24 04:42:15.399999,67.88921672327999,21.08124373545702,361.0418337593452,2246635.1765117263,866059.5124441638,5886787.70870213,6,1,-6,15,-132,81,111,26,-5,69,None
ERRE,PVT,6496,2023-09-24 04:42:15.600000,67.88921672714396,21.0812438644134,361.07423372479246,2246635.1855689925,866059.5217436185,5886787.738881554,-4,1,36,15,-139,60,101,28,-6,68,None
ERRE,PVT,6497,2023-09-24 04:42:15.800000,67.88921674648977,21.08124402857073,361.0981335349211,2246635.189616084,866059.5306970766,5886787.761835927,-28,0,-2,15,-161,17,103,28,-4,69,None
ERRE,PVT,6498,2023-09-24 04:42:15.999999,67.88921679892577,21.08124421008867,361.12712077497076,2246635.191996899,866059.5397900877,5886787.790892839,-33,6,-7,15,-155,0,69,25,-5,69,None
ERRE,PVT,6499,2023-09-24 04:42:16.199999,67.88921683274184,21.081244431806784,361.149621884137,2246635.193287451,866059.5502733514,5886787.813158892,-38,7,-8,15,-184,6,105,28,-5,69,None
ERRE,PVT,6500,2023-09-24 04:42:16.399999,67.8892168585995,21.08124473142235,361.17210940836503,2246635.194163126,866059.5641050384,5886787.835078234,-43,4,-8,15,-162,-9,94,27,-4,71,None
ERRE,PVT,6501,2023-09-24 04:42:16.599999,67.88921685840816,21.08124500005021,361.1954686885192,2246635.198325043,866059.577807917,5886787.85671159,-34,5,-20,15,-188,15,114,26,-5,70,None
ERRE,PVT,6502,2023-09-24 04:42:16.799999,67.88921686599778,21.08124523101266,361.22315636341716,2246635.2038262063,866059.5903306848,5886787.882681691,-34,4,13,15,-194,25,99,27,-5,70,None
ERRE,PVT,6503,2023-09-24 04:42:16.999999,67.8892168936873,21.081245445144788,361.25806862355074,2246635.210181034,866059.6024245275,5886787.916188936,-21,9,8,15,-181,31,93,28,-4,68,None
ERRE,PVT,6504,2023-09-24 04:42:17.199999,67.88921690657668,21.08124562748211,361.29172513062133,2246635.2180024805,866059.6136517616,5886787.947911413,-28,-11,11,15,-158,63,115,27,-4,70,None
ERRE,PVT,6505,2023-09-24 04:42:17.399998,67.88921693694306,21.081245733944865,361.3369797481666,2246635.2293589953,866059.622824488,5886787.9911128,6,1,43,15,-151,109,97,26,-4,69,None
ERRE,PVT,6506,2023-09-24 04:42:17.599998,67.88921695439274,21.081245829127084,361.3828578540551,2246635.2423504395,866059.6321194124,5886788.034349531,9,3,33,15,-117,153,104,28,-5,69,None
ERRE,PVT,6507,2023-09-24 04:42:17.799999,67.88921696184364,21.081245880205188,361.43396281051804,2246635.2588083427,866059.6407642622,5886788.082008935,25,-6,32,15,-98,185,105,28,-5,68,None
ERRE,PVT,6508,2023-09-24 04:42:17.999999,67.88921694551486,21.08124471952889,361.3807687093376,2246635.2592449673,866059.588657899,5886788.032041301,34,-14,-15,15,-88,181,102,28,-5,69,None
ERRE,PVT,6509,2023-09-24 04:42:18.199998,67.88921692010199,21.081243635400867,361.3349175387546,2246635.261979305,866059.5408848766,5886787.988495201,54,-5,-14,15,-77,173,93,28,-4,70,None
ERRE,PVT,6510,2023-09-24 04:42:18.399998,67.88921686784906,21.081242540635927,361.281230581883,2246635.264710396,866059.4926315363,5886787.936562728,37,-14,-14,15,-71,200,93,28,-4,69,None
ERRE,PVT,6511,2023-09-24 04:42:18.599998,67.88921677630016,21.08124147179097,361.2304676778796,2246635.2718656077,866059.4472510463,5886787.885689478,36,-8,-20,15,-94,228,97,26,-5,69,None
ERRE,PVT,6512,2023-09-24 04:42:18.799998,67.88921666658815,21.081240427607906,361.1800060918843,2246635.2805051743,866059.4035534883,5886787.834332833,28,-18,-33,15,-86,209,109,25,-6,69,None
ERRE,PVT,6513,2023-09-24 04:42:18.999999,67.8892165717045,21.081239380766608,361.12659272291995,2246635.2867184677,866059.3588009006,5886787.780864035,44,-2,7,15,-97,205,140,28,-5,69,None
ERRE,PVT,6514,2023-09-24 04:42:19.199999,67.88921649270277,21.081239036939753,361.10920518981806,2246635.2934264443,866059.345901456,5886787.761438433,27,20,-41,15,-109,182,88,27,-5,69,None
ERRE,PVT,6515,2023-09-24 04:42:19.399999,67.8892164818814,21.081239430200164,361.147218825969,2246635.301876139,866059.3668704521,5886787.796202143,15,4,-2,15,-117,143,105,28,-5,69,None
ERRE,PVT,6516,2023-09-24 04:42:19.599998,67.8892165118174,21.081239813469725,361.17753966736046,2246635.303845211,866059.3848912526,5886787.825549947,18,-1,0,15,-135,99,101,27,-4,69,None
ERRE,PVT,6517,2023-09-24 04:42:19.799998,67.8892165711014,21.08124027024614,361.1986138942874,2246635.298625937,866059.4034516156,5886787.847563291,-8,7,-7,15,-152,49,123,26,-5,70,None
ERRE,PVT,6518,2023-09-24 04:42:19.999999,67.88921667448191,21.081240701952115,361.2223236153564,2246635.290459376,866059.4197466979,5886787.873869643,-29,11,8,15,-168,66,102,28,-4,69,None
ERRE,PVT,6519,2023-09-24 04:42:20.199999,67.88921683951321,21.081241099311637,361.24633434977125,2246635.276973248,866059.4324442315,5886787.903043198,-36,7,7,15,-151,2,107,28,-5,67,None
ERRE,PVT,6520,2023-09-24 04:42:20.399998,67.88921703671656,21.081241473615215,361.27374374263366,2246635.2619271865,866059.4435020271,5886787.936716169,-45,-9,65,15,-200,28,96,27,-5,68,None
ERRE,PVT,6521,2023-09-24 04:42:20.599998,67.88921719725226,21.081241842730346,361.2905781883084,2246635.2467810987,866059.4542875852,5886787.959052455,-43,7,5,15,-170,3,86,27,-5,70,None
ERRE,PVT,6522,2023-09-24 04:42:20.799998,67.88921732265445,21.081242028064782,361.2914518059245,2246635.232195036,866059.4570118918,5886787.96512667,-45,-6,-33,15,-178,19,78,27,-5,70,None
ERRE,PVT,6523,2023-09-24 04:42:20.999998,67.88921744281251,21.081242081629572,361.27837651192965,2246635.215207441,866059.4528757705,5886787.958057641,-32,3,-23,15,-177,4,103,28,-4,69,None
ERRE,PVT,6524,2023-09-24 04:42:21.199998,67.88921756948035,21.08124203273714,361.266555800464,2246635.199581484,866059.4446500691,5886787.952424235,-20,11,17,15,-155,40,99,28,-5,69,None
ERRE,PVT,6525,2023-09-24 04:42:21.399998,67.88921767729836,21.08124191769291,361.24536992395616,2246635.183483866,866059.4332631942,5886787.937323011,-19,2,19,15,-177,52,105,26,-5,70,None
ERRE,PVT,6526,2023-09-24 04:42:21.599998,67.88921776937009,21.08124126587344,361.19845198741916,2246635.167980926,866059.3979302171,5886787.8977210345,-11,6,3,15,-130,113,114,29,-4,69,None
ERRE,PVT,6527,2023-09-24 04:42:21.799998,67.88921785260628,21.08124007458417,361.12304356085605,2246635.151478269,866059.3379151552,5886787.831352869,-3,-5,-36,15,-124,111,111,26,-4,71,None
ERRE,PVT,6528,2023-09-24 04:42:21.999998,67.88921790675666,21.081238962802804,361.05748133078964,2246635.140036347,866059.2834318524,5886787.7728856625,14,2,17,15,-107,147,117,26,-4,70,None
ERRE,PVT,6529,2023-09-24 04:42:22.199999,67.88921796514039,21.081237420625396,360.96907315736365,2246635.1266682763,866059.208821811,5886787.693430383,12,-12,26,15,-71,177,98,26,-5,69,None
ERRE,PVT,6530,2023-09-24 04:42:22.499999,67.8892179462496,21.081236485243014,360.91207098575416,2246635.122609052,866059.1651291571,5886787.639827172,34,-4,-28,15,-89,176,89,28,-5,69,None
