ID,Type,Number,Date,Raspberry CPU [°C],Sensor Pressure [mbar],Sensor Temperature [°C],Temperature T0 [°C],Temperature T1 [°C],Temperature T2 [°C],Temperature T3 [°C],Temperature T4 [°C],Voltage [V],Current [mA],Power [mW]
ERRE,TEL,216,2023-07-15 10:52:55.397625,45.277,None,None,37.81,39.08,38.83,53.44,52.46,11.928,292.744,3484.146
ERRE,TEL,217,2023-07-15 10:52:58.406579,45.277,None,None,37.64,38.91,39.00,53.24,52.26,11.928,289.024,3446.341
ERRE,TEL,218,2023-07-15 10:53:01.417100,46.251,None,None,37.73,39.00,39.00,53.24,52.17,11.928,291.220,3474.390
ERRE,TEL,219,2023-07-15 10:53:04.425342,46.251,None,None,37.81,38.91,38.83,53.15,52.36,11.928,290.244,3445.122
ERRE,TEL,220,2023-07-15 10:53:07.436433,47.225,None,None,37.73,38.91,38.91,53.15,52.36,11.924,291.341,3474.390
ERRE,TEL,221,2023-07-15 10:53:10.445802,46.251,None,None,37.64,39.00,38.91,53.05,52.46,11.916,364.512,4343.902
ERRE,TEL,222,2023-07-15 10:53:13.454229,46.738,None,None,37.64,38.91,38.91,52.85,52.46,11.928,291.220,3470.732
ERRE,TEL,223,2023-07-15 10:53:16.466122,45.277,None,None,37.64,38.83,38.91,52.85,52.26,11.904,525.976,5871.951
ERRE,TEL,224,2023-07-15 10:53:19.482236,45.277,None,None,37.64,38.91,39.00,52.65,52.26,11.896,541.707,6274.390
ERRE,TEL,225,2023-07-15 10:53:22.491112,45.764,None,None,37.56,39.00,38.91,52.46,52.26,11.928,289.634,3451.220
ERRE,TEL,226,2023-07-15 10:53:25.519965,45.764,None,None,37.56,38.83,38.91,52.65,52.17,11.916,449.695,4343.902
ERRE,TEL,227,2023-07-15 10:53:28.530452,45.277,None,None,37.56,38.91,38.83,52.85,52.17,11.928,288.659,3446.341
ERRE,TEL,228,2023-07-15 10:53:31.543561,46.251,None,None,37.39,38.66,38.83,52.85,52.26,11.928,290.549,3470.732
ERRE,TEL,229,2023-07-15 10:53:34.562736,45.277,None,None,37.39,38.83,38.83,52.95,52.36,11.928,321.159,3451.220
ERRE,TEL,230,2023-07-15 10:53:37.577770,45.764,None,None,37.39,38.74,38.91,53.15,52.56,11.928,291.829,3467.073
ERRE,TEL,231,2023-07-15 10:53:40.591345,45.277,None,None,37.47,38.83,38.91,53.24,52.56,11.928,288.110,3446.341
ERRE,TEL,232,2023-07-15 10:53:43.600265,45.277,None,None,37.39,38.83,38.74,53.24,52.65,11.928,290.061,3452.439
ERRE,TEL,233,2023-07-15 10:53:46.620347,45.764,None,None,37.39,38.83,38.83,53.34,52.56,11.928,289.329,3432.927
ERRE,TEL,234,2023-07-15 10:53:49.630540,46.738,None,None,37.31,38.91,38.83,53.24,52.56,11.928,291.037,3476.829
ERRE,TEL,235,2023-07-15 10:53:52.638566,46.251,None,None,37.39,38.74,38.83,53.34,52.56,11.928,288.354,3436.585
ERRE,TEL,236,2023-07-15 10:53:55.646534,45.764,None,None,37.14,38.74,38.74,53.54,52.56,11.928,290.549,3445.122
ERRE,TEL,237,2023-07-15 10:53:58.654589,46.251,None,None,37.31,38.74,38.66,53.44,52.56,11.928,289.146,3442.683
ERRE,TEL,238,2023-07-15 10:54:01.662570,46.738,None,None,37.31,38.74,38.66,53.44,52.65,11.928,290.610,3464.634
ERRE,TEL,239,2023-07-15 10:54:04.670644,45.764,None,None,37.22,38.74,38.74,53.34,52.56,11.928,289.817,3456.098
ERRE,TEL,240,2023-07-15 10:54:07.678702,46.738,None,None,37.22,38.74,38.74,53.44,52.46,11.928,289.756,3454.878
ERRE,TEL,241,2023-07-15 10:54:10.687201,46.251,None,None,37.22,38.66,38.58,53.24,52.65,11.928,287.439,3452.439
ERRE,TEL,242,2023-07-15 10:54:13.695232,47.225,None,None,37.22,38.66,38.83,53.54,52.56,11.928,290.427,3462.195
