ID,Type,Number,Date,Raspberry CPU [°C],Sensor Pressure [mbar],Sensor Temperature [°C],Temperature T0 [°C],Temperature T1 [°C],Temperature T2 [°C],Temperature T3 [°C],Temperature T4 [°C],Voltage [V],Current [mA],Power [mW]
ERRE,TEL,3024,2023-07-15 13:13:48.147302,56.965,None,None,27.25,35.95,35.95,129.42,123.81,11.812,925.183,10928.049
ERRE,TEL,3025,2023-07-15 13:13:51.155595,55.504,None,None,27.07,36.04,36.04,131.21,122.37,11.816,1026.768,12124.390
ERRE,TEL,3026,2023-07-15 13:13:54.163680,57.452,None,None,27.16,35.95,35.95,131.21,124.55,11.816,892.988,12230.488
ERRE,TEL,3027,2023-07-15 13:13:57.171782,55.504,None,None,27.07,35.87,36.12,133.11,125.31,11.816,957.622,11874.390
ERRE,TEL,3028,2023-07-15 13:14:00.182170,56.478,None,None,26.98,35.95,36.04,131.21,126.89,11.816,1017.073,12010.976
ERRE,TEL,3029,2023-07-15 13:14:03.190295,55.991,None,None,26.89,35.79,35.87,131.21,127.71,11.804,1128.841,13325.610
ERRE,TEL,3030,2023-07-15 13:14:06.198353,55.504,None,None,26.89,35.79,36.04,130.30,130.30,11.820,1079.939,12425.610
ERRE,TEL,3031,2023-07-15 13:14:09.206394,56.478,None,None,27.33,35.95,35.95,130.30,130.30,11.824,932.317,11878.049
ERRE,TEL,3032,2023-07-15 13:14:12.214574,56.965,None,None,27.16,36.04,36.12,126.09,131.21,11.812,991.402,11707.317
ERRE,TEL,3033,2023-07-15 13:14:15.222758,55.504,None,None,27.16,36.12,36.04,125.31,133.11,11.812,1084.573,12746.341
ERRE,TEL,3034,2023-07-15 13:14:18.230952,56.478,None,None,26.89,35.79,36.12,122.37,133.11,11.816,904.512,12318.293
ERRE,TEL,3035,2023-07-15 13:14:21.239085,55.991,None,None,27.16,36.12,36.04,120.99,133.11,11.812,1068.659,12347.561
ERRE,TEL,3036,2023-07-15 13:14:24.255184,55.991,None,None,27.16,35.87,36.21,119.02,134.11,11.808,1037.866,12909.756
ERRE,TEL,3037,2023-07-15 13:14:27.263904,55.504,None,None,27.07,35.87,36.12,118.40,135.13,11.812,1044.451,12342.683
ERRE,TEL,3038,2023-07-15 13:14:30.271948,56.478,None,None,26.81,35.95,35.95,117.78,134.11,11.832,1007.561,12021.951
ERRE,TEL,3039,2023-07-15 13:14:33.282569,56.478,None,None,26.98,36.04,36.04,117.17,135.13,11.816,895.122,10574.390
ERRE,TEL,3040,2023-07-15 13:14:36.309619,56.478,None,None,26.98,36.04,35.95,116.58,134.11,11.816,1053.476,11902.439
ERRE,TEL,3041,2023-07-15 13:14:39.318521,56.965,None,None,27.33,36.12,36.04,117.17,134.11,11.836,904.329,12424.390
ERRE,TEL,3042,2023-07-15 13:14:42.323673,56.965,None,None,26.98,35.95,36.12,116.00,133.11,11.760,1337.012,14813.415
ERRE,TEL,3043,2023-07-15 13:14:45.331897,55.504,None,None,27.25,35.95,36.21,114.86,134.11,11.828,994.695,11748.780
