ID,Type,Number,Date,Raspberry CPU [°C],Sensor Pressure [mbar],Sensor Temperature [°C],Temperature T0 [°C],Temperature T1 [°C],Temperature T2 [°C],Temperature T3 [°C],Temperature T4 [°C],Voltage [V],Current [mA],Power [mW]
ERRE,TEL,2664,2023-07-15 09:39:48.115816,52.582,None,None,30.70,32.83,33.00,53.05,54.75,11.940,286.646,3423.171
ERRE,TEL,2665,2023-07-15 09:39:51.124157,53.556,None,None,30.62,32.83,33.17,53.05,54.75,11.940,288.354,3442.683
ERRE,TEL,2666,2023-07-15 09:39:54.129584,53.069,None,None,30.62,33.00,33.08,53.15,54.75,11.932,366.098,4381.707
ERRE,TEL,2667,2023-07-15 09:39:57.143305,52.582,None,None,30.62,33.00,33.08,53.05,54.75,11.908,416.524,4953.659
ERRE,TEL,2668,2023-07-15 09:40:00.163629,53.069,None,None,30.70,32.75,32.83,53.05,54.75,11.940,290.915,4190.244
ERRE,TEL,2669,2023-07-15 09:40:03.175163,52.582,None,None,30.70,32.75,33.08,53.15,54.85,11.928,340.122,4062.195
ERRE,TEL,2670,2023-07-15 09:40:06.183256,52.582,None,None,30.70,32.92,33.08,53.15,54.95,11.940,307.927,3737.805
ERRE,TEL,2671,2023-07-15 09:40:09.191358,52.582,None,None,30.62,32.66,32.92,52.95,54.75,11.940,388.232,3430.488
ERRE,TEL,2672,2023-07-15 09:40:12.199451,53.556,None,None,30.70,32.83,33.00,53.05,54.95,11.924,486.768,4391.463
ERRE,TEL,2673,2023-07-15 09:40:15.207515,53.069,None,None,30.53,32.66,32.92,52.85,54.75,11.940,296.951,3451.220
ERRE,TEL,2674,2023-07-15 09:40:18.215606,52.582,None,None,30.53,32.75,33.08,52.95,54.75,11.924,371.341,4628.049
ERRE,TEL,2675,2023-07-15 09:40:21.223657,52.095,None,None,30.70,32.92,33.08,52.95,54.85,11.940,287.927,3439.024
ERRE,TEL,2676,2023-07-15 09:40:24.242271,52.582,None,None,30.70,32.92,33.17,53.05,54.95,11.940,290.122,3464.634
ERRE,TEL,2677,2023-07-15 09:40:27.251138,53.069,None,None,30.62,32.66,32.92,53.05,54.75,11.944,286.220,3418.293
ERRE,TEL,2678,2023-07-15 09:40:30.259211,53.069,None,None,30.53,32.75,32.92,52.95,54.95,11.940,290.061,3445.122
