ID,Type,Number,Date,Latitude [deg],Longitude [deg],Height [m],Posx [m],Posy [m],Posz [m],Velx [mm/s],Vely [mm/s],Velz [mm/s],nSats,Gyrx [deg/s],Gyry [deg/s],Gyrz [deg/s],Magx [uT],Magy [uT],Magz [uT],CPU Temperature [°C]
ERRE,PVT,23760,2023-09-24 05:42:16.700011,67.88635891348387,21.08471817690083,351.90026108456516,2246854.9877605666,866300.7491560213,5886659.250843784,4,1,-21,15,-127,110,84,26,-5,72,None
ERRE,PVT,23761,2023-09-24 05:42:16.900011,67.88635898755767,21.08471819572485,351.9228670431716,2246854.988274136,866300.7502019549,5886659.274897095,1,12,11,15,-144,111,103,26,-5,69,None
ERRE,PVT,23762,2023-09-24 05:42:17.100010,67.88635905189332,21.0847181334737,351.9404189407911,2246854.9891772736,866300.7477460899,5886659.293859233,3,10,24,15,-159,137,111,26,-5,70,None
ERRE,PVT,23763,2023-09-24 05:42:17.300010,67.88635913112431,21.084718106756178,351.9638009950154,2246854.990154779,866300.7469194975,5886659.318848092,2,10,43,15,-115,127,105,27,-5,70,None
ERRE,PVT,23764,2023-09-24 05:42:17.500010,67.8863592362127,21.084718111729057,351.99175473591674,2246854.9897658066,866300.7469935262,5886659.349158061,2,4,-26,15,-108,91,103,25,-5,71,None
ERRE,PVT,23765,2023-09-24 05:42:17.700010,67.8863594097058,21.084718174250437,352.04526332156587,2246854.9908872684,866300.750242171,5886659.406015266,-1,8,44,15,-138,114,109,25,-4,71,None
ERRE,PVT,23766,2023-09-24 05:42:17.900010,67.88635953165861,21.084718170535826,352.0877763350784,2246854.994117456,866300.7513202839,5886659.450521629,-9,-11,-47,15,-144,96,94,27,-5,69,None
ERRE,PVT,23767,2023-09-24 05:42:18.100010,67.88635964805215,21.084718221810476,352.1335840040032,2246854.9982094467,866300.7552076456,5886659.497846864,-2,1,7,15,-123,81,75,26,-4,69,None
ERRE,PVT,23768,2023-09-24 05:42:18.300009,67.88635977012633,21.084718258754584,352.1848339891748,2246855.00388197,866300.7590588857,5886659.5504525965,-3,4,17,15,-125,78,103,24,-4,70,None
ERRE,PVT,23769,2023-09-24 05:42:18.500009,67.88635988700506,21.084718229478376,352.23733812831057,2246855.0114971716,866300.7606762782,5886659.604002074,3,-8,-15,15,-129,107,88,27,-5,72,None
ERRE,PVT,23770,2023-09-24 05:42:18.700009,67.8863599721172,21.08471813330076,352.2819827751604,2246855.0204261653,866300.7597866692,5886659.648936372,1,7,47,15,-125,114,96,27,-6,69,None
ERRE,PVT,23771,2023-09-24 05:42:18.900009,67.88636008269555,21.08471817728727,352.3523500701798,2246855.0338153956,866300.7669303969,5886659.7187704295,1,-4,21,15,-119,89,118,26,-5,70,None
ERRE,PVT,23772,2023-09-24 05:42:19.100009,67.88636023388906,21.084718344360244,352.44105600545976,2246855.047868889,866300.7798746228,5886659.807299502,4,15,39,15,-146,115,99,28,-5,70,None
ERRE,PVT,23773,2023-09-24 05:42:19.300009,67.88636034590985,21.084718512497496,352.51633043327234,2246855.060965499,866300.792497852,5886659.881740285,6,11,20,15,-126,99,91,27,-5,69,None
ERRE,PVT,23774,2023-09-24 05:42:19.500009,67.88636046912728,21.08471878264422,352.5932932376669,2246855.072033229,866300.8089338023,5886659.95821538,-4,8,29,15,-141,116,93,26,-4,72,None
ERRE,PVT,23775,2023-09-24 05:42:19.700009,67.88636059446488,21.084719128694882,352.66339219019767,2246855.079338014,866300.8273379712,5886660.028420559,-8,1,-11,15,-126,86,107,27,-6,68,None
ERRE,PVT,23776,2023-09-24 05:42:19.900009,67.8863607054162,21.084719495999884,352.7387468194047,2246855.0895545306,866300.8478221854,5886660.102890741,6,21,76,15,-135,116,96,26,-4,70,None
ERRE,PVT,23777,2023-09-24 05:42:20.100008,67.88636077369428,21.084719866807514,352.8131703980104,2246855.1035054894,866300.8699040321,5886660.1747065615,15,32,85,15,-110,98,108,27,-4,69,None
ERRE,PVT,23778,2023-09-24 05:42:20.300009,67.8863607868109,21.084720154951928,352.8713703735683,2246855.118326394,866300.888597762,5886660.229176042,8,-4,-19,15,-139,112,100,27,-6,72,None
ERRE,PVT,23779,2023-09-24 05:42:20.500008,67.88636079509764,21.084720414233615,352.91245257948873,2246855.128036904,866300.90402101,5886660.2675841525,3,11,42,15,-146,99,103,28,-6,70,None
ERRE,PVT,23780,2023-09-24 05:42:20.700008,67.88636073617732,21.084720561983474,352.93905995276236,2246855.1408294905,866300.9156086775,5886660.28976027,1,4,36,15,-117,88,93,27,-5,71,None
ERRE,PVT,23781,2023-09-24 05:42:20.900008,67.88636068341481,21.084720806725237,352.9750590156487,2246855.154860615,866300.9320428427,5886660.320895773,14,18,17,15,-130,106,76,27,-6,70,None
ERRE,PVT,23782,2023-09-24 05:42:21.200008,67.8863605749564,21.084721078852525,353.01558093304595,2246855.1754363184,866300.9522339172,5886660.353882825,8,21,60,15,-138,96,93,26,-3,71,None
ERRE,PVT,23783,2023-09-24 05:42:21.500008,67.88636043851785,21.08472120592511,353.0452727466768,2246855.1970989965,866300.9663101513,5886660.375661593,10,7,13,15,-148,107,95,27,-5,71,None
ERRE,PVT,23784,2023-09-24 05:42:21.700008,67.88636031898973,21.084721213647068,353.0511634875451,2246855.2105758525,866300.9718541414,5886660.376100166,7,17,24,15,-134,112,86,25,-4,70,None
ERRE,PVT,23785,2023-09-24 05:42:22.000008,67.88636007781838,21.084721157474327,353.03112529600764,2246855.227639935,866300.9759031149,5886660.347409512,6,-1,-6,15,-132,93,97,27,-6,70,None
ERRE,PVT,23786,2023-09-24 05:42:22.200008,67.88635988815649,21.08472112111916,353.0031924201118,2246855.23666505,866300.9777452467,5886660.313567735,6,3,7,15,-132,120,105,28,-4,70,None
ERRE,PVT,23787,2023-09-24 05:42:22.400008,67.88635970662348,21.084721037682446,352.9740602968907,2246855.245197041,866300.977276478,5886660.278956251,0,1,21,15,-143,98,110,26,-4,71,None
ERRE,PVT,23788,2023-09-24 05:42:22.600008,67.88635947958785,21.08472097121964,352.9366042107083,2246855.2549358923,866300.9780376112,5886660.234722521,-5,-10,-46,15,-127,121,79,26,-5,70,None
ERRE,PVT,23789,2023-09-24 05:42:22.800008,67.88635927287945,21.08472096797208,352.910295566582,2246855.265674498,866300.9820317195,5886660.201669734,2,4,-27,15,-144,110,97,24,-4,71,None
